Stock,Strategy,Win Rate,Max Drawdown,Return [%],Total Trades,Total Commissions [$],Net Return [%],CAGR [%],Sharpe Ratio
AES,HOLCStrategy_cents,32.35,-6.01,-0.45,34,68,-1.13,-0.16,-0.06
AES,HOLCStrategy_Candle,41.94,-2.52,4.9,31,62,4.28,1.69,0.55
AES,HOLCStrategy_Ema50,25.0,-3.74,-1.7,12,24,-1.94,-0.6,-0.34
AMCR,HOLCStrategy_cents,54.29,-2.31,9.45,35,70,8.75,3.22,1.18
AMCR,HOLCStrategy_Candle,32.5,-5.33,0.09,40,80,-0.71,0.03,0.01
AMCR,HOLCStrategy_Ema50,23.53,-13.27,-10.18,17,34,-10.52,-3.69,-1.03
APA,HOLCStrategy_cents,25.81,-7.02,-4.98,31,62,-5.6,-1.78,-0.76
APA,HOLCStrategy_Candle,31.43,-5.3,-1.91,35,70,-2.61,-0.67,-0.23
APA,HOLCStrategy_Ema50,18.18,-8.38,-4.43,22,44,-4.87,-1.58,-0.76
ADM,HOLCStrategy_cents,30.43,-5.35,-4.0,23,46,-4.46,-1.42,-0.77
ADM,HOLCStrategy_Candle,44.0,-5.02,-0.66,25,50,-1.16,-0.23,-0.12
ADM,HOLCStrategy_Ema50,28.57,-4.82,-1.11,14,28,-1.39,-0.39,-0.2
T,HOLCStrategy_cents,30.0,-10.71,-9.29,30,60,-9.89,-3.36,-1.59
T,HOLCStrategy_Candle,33.33,-8.89,-5.52,33,66,-6.18,-1.97,-0.88
T,HOLCStrategy_Ema50,18.75,-6.52,-5.16,16,32,-5.48,-1.84,-1.18
BKR,HOLCStrategy_cents,43.4,-5.03,3.29,53,106,2.23,1.14,0.32
BKR,HOLCStrategy_Candle,40.38,-6.68,6.01,52,104,4.97,2.07,0.58
BKR,HOLCStrategy_Ema50,13.33,-6.4,-5.04,15,30,-5.34,-1.8,-1.26
BAC,HOLCStrategy_cents,43.33,-3.42,4.43,30,60,3.83,1.53,0.63
BAC,HOLCStrategy_Candle,41.94,-4.57,1.24,31,62,0.62,0.43,0.17
BAC,HOLCStrategy_Ema50,25.0,-7.43,-5.76,16,32,-6.08,-2.06,-1.51
BAX,HOLCStrategy_cents,45.24,-4.98,2.86,42,84,2.02,1.0,0.35
BAX,HOLCStrategy_Candle,45.71,-3.18,5.36,35,70,4.66,1.85,0.63
BAX,HOLCStrategy_Ema50,46.15,-2.61,0.06,13,26,-0.2,0.02,0.02
BWA,HOLCStrategy_cents,33.33,-6.52,-2.48,36,72,-3.2,-0.88,-0.37
BWA,HOLCStrategy_Candle,31.43,-7.67,-1.5,35,70,-2.2,-0.53,-0.19
BWA,HOLCStrategy_Ema50,31.25,-3.73,-0.4,16,32,-0.72,-0.14,-0.07
CZR,HOLCStrategy_cents,26.92,-10.48,-7.53,26,52,-8.05,-2.71,-0.95
CZR,HOLCStrategy_Candle,32.14,-7.49,-2.06,28,56,-2.62,-0.73,-0.3
CZR,HOLCStrategy_Ema50,55.56,-1.47,3.96,9,18,3.78,1.37,0.95
CPB,HOLCStrategy_cents,20.59,-9.88,-8.15,34,68,-8.83,-2.94,-1.49
CPB,HOLCStrategy_Candle,28.57,-8.6,-5.4,35,70,-6.1,-1.93,-0.76
CPB,HOLCStrategy_Ema50,54.55,-6.31,-1.06,11,22,-1.28,-0.37,-0.12
CCL,HOLCStrategy_cents,28.95,-9.69,-6.01,38,76,-6.77,-2.15,-0.91
CCL,HOLCStrategy_Candle,23.68,-8.01,-6.96,38,76,-7.72,-2.5,-0.93
CCL,HOLCStrategy_Ema50,7.14,-7.22,-6.01,14,28,-6.29,-2.15,-1.93
CNP,HOLCStrategy_cents,50.0,-2.37,4.72,30,60,4.12,1.63,0.82
CNP,HOLCStrategy_Candle,32.26,-7.13,-0.86,31,62,-1.48,-0.3,-0.13
CNP,HOLCStrategy_Ema50,36.84,-3.65,0.97,19,38,0.59,0.34,0.17
CFG,HOLCStrategy_cents,39.53,-6.04,-1.01,43,86,-1.87,-0.35,-0.11
CFG,HOLCStrategy_Candle,41.67,-3.93,7.63,48,96,6.67,2.61,0.77
CFG,HOLCStrategy_Ema50,52.63,-2.19,6.08,19,38,5.7,2.09,0.94
CMCSA,HOLCStrategy_cents,28.57,-9.91,-6.11,42,84,-6.95,-2.19,-0.9
CMCSA,HOLCStrategy_Candle,40.54,-4.43,3.79,37,74,3.05,1.31,0.46
CMCSA,HOLCStrategy_Ema50,36.36,-3.63,-0.14,11,22,-0.36,-0.05,-0.04
CAG,HOLCStrategy_cents,35.29,-7.98,-3.88,34,68,-4.56,-1.38,-0.58
CAG,HOLCStrategy_Candle,38.71,-5.27,2.97,31,62,2.35,1.03,0.4
CAG,HOLCStrategy_Ema50,35.71,-3.11,1.69,14,28,1.41,0.59,0.37
CTRA,HOLCStrategy_cents,34.38,-4.25,-1.52,32,64,-2.16,-0.54,-0.24
CTRA,HOLCStrategy_Candle,52.78,-3.86,13.82,36,72,13.1,4.65,1.44
CTRA,HOLCStrategy_Ema50,36.36,-4.09,-1.17,11,22,-1.39,-0.41,-0.29
CSX,HOLCStrategy_cents,46.34,-4.9,0.46,41,82,-0.36,0.16,0.07
CSX,HOLCStrategy_Candle,27.03,-9.25,-7.56,37,74,-8.3,-2.72,-1.3
CSX,HOLCStrategy_Ema50,28.57,-5.94,-2.47,14,28,-2.75,-0.87,-0.46
DVN,HOLCStrategy_cents,37.14,-4.8,-0.51,35,70,-1.21,-0.18,-0.07
DVN,HOLCStrategy_Candle,45.0,-3.93,5.18,40,80,4.38,1.79,0.58
DVN,HOLCStrategy_Ema50,58.33,-1.91,3.97,12,24,3.73,1.38,0.79
DOW,HOLCStrategy_cents,40.62,-5.23,0.26,32,64,-0.38,0.09,0.04
DOW,HOLCStrategy_Candle,35.14,-6.5,-1.29,37,74,-2.03,-0.45,-0.07
DOW,HOLCStrategy_Ema50,50.0,-1.78,1.44,10,20,1.24,0.5,0.44
EXC,HOLCStrategy_cents,51.85,-2.7,6.35,27,54,5.81,2.18,1.01
EXC,HOLCStrategy_Candle,53.33,-5.12,8.17,30,60,7.57,2.79,1.12
EXC,HOLCStrategy_Ema50,33.33,-5.52,-2.48,21,42,-2.9,-0.88,-0.5
FITB,HOLCStrategy_cents,35.29,-8.4,-5.65,34,68,-6.33,-2.02,-0.94
FITB,HOLCStrategy_Candle,50.0,-2.93,7.75,30,60,7.15,2.65,0.95
FITB,HOLCStrategy_Ema50,27.27,-3.45,-0.54,11,22,-0.76,-0.19,-0.13
FE,HOLCStrategy_cents,37.5,-4.83,-1.53,24,48,-2.01,-0.54,-0.27
FE,HOLCStrategy_Candle,40.0,-4.12,-0.7,20,40,-1.1,-0.25,-0.15
FE,HOLCStrategy_Ema50,40.0,-4.37,-1.79,25,50,-2.29,-0.63,-0.31
BEN,HOLCStrategy_cents,51.61,-4.02,4.7,31,62,4.08,1.62,0.61
BEN,HOLCStrategy_Candle,51.72,-4.3,2.99,29,58,2.41,1.04,0.41
BEN,HOLCStrategy_Ema50,30.0,-3.08,-0.25,20,40,-0.65,-0.09,-0.05
FCX,HOLCStrategy_cents,40.0,-3.88,-0.44,35,70,-1.14,-0.16,-0.07
FCX,HOLCStrategy_Candle,53.85,-3.76,11.43,39,78,10.65,3.87,1.23
FCX,HOLCStrategy_Ema50,25.0,-7.09,-5.19,12,24,-5.43,-1.85,-0.91
GEN,HOLCStrategy_cents,34.21,-5.57,-2.14,38,76,-2.9,-0.76,-0.27
GEN,HOLCStrategy_Candle,25.71,-10.75,-6.6,35,70,-7.3,-2.37,-1.1
GEN,HOLCStrategy_Ema50,52.63,-2.38,5.45,19,38,5.07,1.88,0.99
GM,HOLCStrategy_cents,30.0,-10.61,-9.78,40,80,-10.58,-3.55,-1.22
GM,HOLCStrategy_Candle,30.61,-6.65,-3.28,49,98,-4.26,-1.16,-0.38
GM,HOLCStrategy_Ema50,40.0,-2.58,1.22,10,20,1.02,0.43,0.26
HAL,HOLCStrategy_cents,37.5,-7.74,-0.84,40,80,-1.64,-0.3,-0.11
HAL,HOLCStrategy_Candle,38.46,-6.69,0.47,39,78,-0.31,0.17,0.06
HAL,HOLCStrategy_Ema50,27.27,-4.4,-1.37,11,22,-1.59,-0.48,-0.26
DOC,HOLCStrategy_cents,42.86,-5.67,5.23,35,70,4.53,1.8,0.62
DOC,HOLCStrategy_Candle,42.42,-6.99,2.91,33,66,2.25,1.01,0.37
DOC,HOLCStrategy_Ema50,31.25,-3.18,-1.67,16,32,-1.99,-0.59,-0.3
HPE,HOLCStrategy_cents,39.02,-7.2,-2.23,41,82,-3.05,-0.79,-0.28
HPE,HOLCStrategy_Candle,30.0,-6.74,-5.89,40,80,-6.69,-2.11,-0.76
HPE,HOLCStrategy_Ema50,27.78,-5.22,-3.08,18,36,-3.44,-1.09,-0.65
HRL,HOLCStrategy_cents,45.16,-4.74,0.06,31,62,-0.56,0.02,0.01
HRL,HOLCStrategy_Candle,28.57,-7.85,-5.63,28,56,-6.19,-2.01,-0.86
HRL,HOLCStrategy_Ema50,27.27,-3.36,-2.39,11,22,-2.61,-0.85,-0.63
HST,HOLCStrategy_cents,30.0,-9.87,-5.85,40,80,-6.65,-2.09,-0.87
HST,HOLCStrategy_Candle,27.03,-11.06,-6.49,37,74,-7.23,-2.33,-0.94
HST,HOLCStrategy_Ema50,22.22,-5.74,-3.55,9,18,-3.73,-1.26,-0.88
HPQ,HOLCStrategy_cents,46.15,-6.52,1.72,39,78,0.94,0.6,0.2
HPQ,HOLCStrategy_Candle,34.88,-7.42,-1.08,43,86,-1.94,-0.38,-0.13
HPQ,HOLCStrategy_Ema50,20.0,-4.83,-3.09,10,20,-3.29,-1.09,-0.93
HBAN,HOLCStrategy_cents,52.63,-4.24,4.68,38,76,3.92,1.62,0.61
HBAN,HOLCStrategy_Candle,29.41,-5.63,-5.54,34,68,-6.22,-1.98,-0.88
HBAN,HOLCStrategy_Ema50,23.08,-8.12,-5.35,13,26,-5.61,-1.91,-1.44
INTC,HOLCStrategy_cents,41.67,-4.02,3.9,36,72,3.18,1.35,0.48
INTC,HOLCStrategy_Candle,42.86,-4.27,9.15,42,84,8.31,3.12,0.92
INTC,HOLCStrategy_Ema50,20.0,-6.43,-5.65,15,30,-5.95,-2.02,-1.13
IPG,HOLCStrategy_cents,44.0,-3.29,0.46,25,50,-0.04,0.16,0.09
IPG,HOLCStrategy_Candle,44.0,-5.44,0.28,25,50,-0.22,0.1,0.05
IPG,HOLCStrategy_Ema50,41.67,-2.63,2.87,12,24,2.63,1.0,0.69
IVZ,HOLCStrategy_cents,36.96,-8.38,0.5,46,92,-0.42,0.18,-0.11
IVZ,HOLCStrategy_Candle,16.67,-15.6,-14.93,42,84,-15.77,-5.51,-2.29
IVZ,HOLCStrategy_Ema50,33.33,-1.92,0.19,6,12,0.07,0.07,0.06
INVH,HOLCStrategy_cents,50.0,-2.76,4.68,34,68,4.0,1.62,0.73
INVH,HOLCStrategy_Candle,25.0,-8.42,-4.73,24,48,-5.21,-1.68,-0.84
INVH,HOLCStrategy_Ema50,20.0,-6.75,-3.83,15,30,-4.13,-1.36,-0.68
JNPR,HOLCStrategy_cents,36.36,-5.33,-4.51,33,66,-5.17,-1.61,-0.95
JNPR,HOLCStrategy_Candle,32.0,-7.03,-5.42,25,50,-5.92,-1.94,-1.25
JNPR,HOLCStrategy_Ema50,26.67,-4.49,6.6,15,30,6.3,2.27,0.39
KVUE,HOLCStrategy_cents,30.56,-9.12,-3.57,36,72,-4.29,-1.36,-0.55
KVUE,HOLCStrategy_Candle,33.33,-7.63,-2.94,30,60,-3.54,-1.12,-0.45
KVUE,HOLCStrategy_Ema50,42.11,-3.44,0.41,19,38,0.03,0.15,0.07
KDP,HOLCStrategy_cents,41.18,-4.18,-0.03,34,68,-0.71,-0.01,0.09
KDP,HOLCStrategy_Candle,34.38,-7.29,-4.96,32,64,-5.6,-1.77,-0.83
KDP,HOLCStrategy_Ema50,41.67,-2.51,-1.29,12,24,-1.53,-0.45,-0.41
KEY,HOLCStrategy_cents,42.11,-5.36,4.36,38,76,3.6,1.51,0.52
KEY,HOLCStrategy_Candle,33.33,-7.8,-3.19,30,60,-3.79,-1.13,-0.43
KEY,HOLCStrategy_Ema50,57.14,-2.18,1.33,14,28,1.05,0.47,0.3
KIM,HOLCStrategy_cents,31.43,-6.97,-4.32,35,70,-5.02,-1.54,-0.61
KIM,HOLCStrategy_Candle,25.0,-8.64,-8.64,28,56,-9.2,-3.12,-1.35
KIM,HOLCStrategy_Ema50,37.5,-1.75,0.55,8,16,0.39,0.19,0.14
KMI,HOLCStrategy_cents,51.28,-3.32,6.45,39,78,5.67,2.22,0.9
KMI,HOLCStrategy_Candle,58.33,-2.77,14.08,48,96,13.12,4.73,1.58
KMI,HOLCStrategy_Ema50,37.5,-4.53,-0.8,16,32,-1.12,-0.28,-0.16
KHC,HOLCStrategy_cents,42.42,-6.71,-0.76,33,66,-1.42,-0.27,-0.12
KHC,HOLCStrategy_Candle,47.22,-6.71,1.99,36,72,1.27,0.69,0.26
KHC,HOLCStrategy_Ema50,30.77,-3.56,-1.81,13,26,-2.07,-0.64,-0.43
LVS,HOLCStrategy_cents,18.18,-11.17,-7.97,33,66,-8.63,-2.87,-1.26
LVS,HOLCStrategy_Candle,47.5,-3.35,8.5,40,80,7.7,2.91,0.92
LVS,HOLCStrategy_Ema50,23.53,-6.01,-5.24,17,34,-5.58,-1.87,-1.04
MTCH,HOLCStrategy_cents,37.04,-6.21,-2.29,27,54,-2.83,-0.81,-0.37
MTCH,HOLCStrategy_Candle,22.22,-9.01,-5.67,27,54,-6.21,-2.03,-0.9
MTCH,HOLCStrategy_Ema50,26.67,-4.51,-3.03,15,30,-3.33,-1.07,-0.77
MGM,HOLCStrategy_cents,29.73,-9.47,-6.09,37,74,-6.83,-2.18,-0.76
MGM,HOLCStrategy_Candle,30.56,-5.85,-2.74,36,72,-3.46,-0.97,-0.36
MGM,HOLCStrategy_Ema50,12.5,-6.03,-4.72,8,16,-4.88,-1.68,-1.26
MRNA,HOLCStrategy_cents,37.04,-9.59,1.39,27,54,0.85,0.49,0.13
MRNA,HOLCStrategy_Candle,42.5,-5.87,6.82,40,80,6.02,2.34,0.71
MRNA,HOLCStrategy_Ema50,31.58,-5.6,0.79,19,38,0.41,0.27,0.12
MOS,HOLCStrategy_cents,45.95,-6.92,4.99,37,74,4.25,1.72,0.61
MOS,HOLCStrategy_Candle,30.95,-8.74,-6.41,42,84,-7.25,-2.3,-0.88
MOS,HOLCStrategy_Ema50,22.22,-3.39,-2.65,9,18,-2.83,-0.94,-0.81
NEM,HOLCStrategy_cents,36.84,-7.67,-3.29,38,76,-4.05,-1.17,-0.44
NEM,HOLCStrategy_Candle,37.21,-6.35,-0.69,43,86,-1.55,-0.24,-0.08
NEM,HOLCStrategy_Ema50,25.0,-2.69,-1.06,4,8,-1.14,-0.37,-0.34
NWSA,HOLCStrategy_cents,41.86,-4.53,2.57,43,86,1.71,0.9,0.35
NWSA,HOLCStrategy_Candle,40.0,-5.43,-1.92,35,70,-2.62,-0.68,-0.26
NWSA,HOLCStrategy_Ema50,42.86,-3.22,1.89,14,28,1.61,0.66,0.31
NI,HOLCStrategy_cents,53.12,-3.19,6.78,32,64,6.14,2.33,0.93
NI,HOLCStrategy_Candle,46.67,-5.01,2.15,30,60,1.55,0.75,0.3
NI,HOLCStrategy_Ema50,25.0,-3.56,-2.11,12,24,-2.35,-0.75,-0.56
NCLH,HOLCStrategy_cents,43.59,-5.47,1.0,39,78,0.22,0.35,0.16
NCLH,HOLCStrategy_Candle,23.81,-12.32,-9.15,42,84,-9.99,-3.32,-1.22
NCLH,HOLCStrategy_Ema50,33.33,-2.71,1.84,18,36,1.48,0.64,0.32
PARA,HOLCStrategy_cents,25.71,-6.8,-6.35,35,70,-7.05,-2.28,-0.99
PARA,HOLCStrategy_Candle,29.73,-5.21,-4.8,37,74,-5.54,-1.71,-0.64
PARA,HOLCStrategy_Ema50,50.0,-3.13,4.66,18,36,4.3,1.61,0.55
PFE,HOLCStrategy_cents,31.25,-9.92,-7.39,32,64,-8.03,-2.66,-1.25
PFE,HOLCStrategy_Candle,38.64,-6.1,-2.11,44,88,-2.99,-0.75,-0.28
PFE,HOLCStrategy_Ema50,36.84,-4.4,-1.7,19,38,-2.08,-0.6,-0.27
PCG,HOLCStrategy_cents,40.0,-4.63,0.37,35,70,-0.33,0.13,0.06
PCG,HOLCStrategy_Candle,24.32,-11.49,-8.97,37,74,-9.71,-3.25,-1.3
PCG,HOLCStrategy_Ema50,33.33,-4.4,-1.08,15,30,-1.38,-0.38,-0.21
PPL,HOLCStrategy_cents,52.94,-4.86,3.99,34,68,3.31,1.38,0.63
PPL,HOLCStrategy_Candle,50.0,-5.02,2.61,30,60,2.01,0.91,0.38
PPL,HOLCStrategy_Ema50,55.56,-1.96,5.56,18,36,5.2,1.92,0.98
RF,HOLCStrategy_cents,39.39,-7.94,-1.89,33,66,-2.55,-0.67,-0.32
RF,HOLCStrategy_Candle,45.71,-3.91,4.08,35,70,3.38,1.42,0.51
RF,HOLCStrategy_Ema50,33.33,-4.56,-2.44,12,24,-2.68,-0.86,-0.53
SLB,HOLCStrategy_cents,34.21,-7.14,-2.88,38,76,-3.64,-1.02,-0.37
