Stock,Strategy,Win Rate,Max Drawdown,Return [%],Total Trades,Total Commissions [$],Net Return [%],CAGR [%],Sharpe Ratio
AES,VWAPReversalStrategy,43.27,-21.32,0.83,483,966,-8.83,0.29,0.01
AMCR,VWAPReversalStrategy,41.13,-18.98,-14.58,423,846,-23.04,-5.38,-1.04
APA,VWAPReversalStrategy,45.62,-15.39,13.94,480,960,4.34,4.69,0.54
T,VWAPReversalStrategy,47.82,-22.85,-10.02,481,962,-19.64,-3.64,-0.7
BKR,VWAPReversalStrategy,45.49,-25.74,-11.06,477,954,-20.6,-4.03,-0.56
BAC,VWAPReversalStrategy,48.2,-15.83,-0.09,471,942,-9.51,-0.03,0.03
BAX,VWAPReversalStrategy,43.95,-16.5,-6.72,471,942,-16.14,-2.41,-0.31
CZR,VWAPReversalStrategy,44.33,-12.85,71.25,476,952,61.73,20.77,1.53
CCL,VWAPReversalStrategy,42.5,-26.71,-11.4,480,960,-21.0,-4.16,-0.46
CNP,VWAPReversalStrategy,47.48,-10.4,0.9,476,952,-8.62,0.31,0.07
CFG,VWAPReversalStrategy,44.35,-22.15,-7.76,469,938,-17.14,-2.79,-0.33
CMCSA,VWAPReversalStrategy,52.22,-10.08,32.67,473,946,23.21,10.43,1.52
CAG,VWAPReversalStrategy,50.32,-10.82,22.79,475,950,13.29,7.47,1.17
CTRA,VWAPReversalStrategy,47.18,-11.32,2.21,443,886,-6.65,0.77,0.15
CSX,VWAPReversalStrategy,48.99,-18.02,-5.43,447,894,-14.37,-1.94,-0.34
DVN,VWAPReversalStrategy,46.79,-15.73,1.06,483,966,-8.6,0.37,0.09
DOW,VWAPReversalStrategy,47.64,-14.55,-7.33,487,974,-17.07,-2.64,-0.43
EXC,VWAPReversalStrategy,44.65,-13.17,-7.4,486,972,-17.12,-2.66,-0.5
FITB,VWAPReversalStrategy,48.04,-11.65,27.18,460,920,17.98,8.8,1.03
FE,VWAPReversalStrategy,52.39,-6.42,15.42,418,836,7.06,5.16,0.95
BEN,VWAPReversalStrategy,47.64,-11.35,18.86,466,932,9.54,6.25,0.81
FCX,VWAPReversalStrategy,42.24,-29.09,-10.54,464,928,-19.82,-3.83,-0.49
GEN,VWAPReversalStrategy,46.12,-15.95,23.94,451,902,14.92,7.82,0.99
GM,VWAPReversalStrategy,44.23,-24.53,-6.2,468,936,-15.56,-2.22,-0.34
HAL,VWAPReversalStrategy,47.7,-12.32,6.66,478,956,-2.9,2.29,0.27
DOC,VWAPReversalStrategy,48.21,-6.91,28.33,448,896,19.37,9.14,1.19
HPE,VWAPReversalStrategy,45.55,-22.63,-2.99,483,966,-12.65,-1.06,-0.11
HST,VWAPReversalStrategy,46.71,-10.34,13.58,441,882,4.76,4.57,0.57
HPQ,VWAPReversalStrategy,48.9,-15.0,6.78,454,908,-2.3,2.33,0.29
HBAN,VWAPReversalStrategy,44.44,-16.76,0.35,477,954,-9.19,0.12,0.05
INTC,VWAPReversalStrategy,37.7,-26.06,-24.95,488,976,-34.71,-9.58,-1.14
IPG,VWAPReversalStrategy,51.26,-10.74,27.98,478,956,18.42,9.04,1.23
IVZ,VWAPReversalStrategy,47.12,-16.07,25.81,452,904,16.77,8.39,0.91
JNPR,VWAPReversalStrategy,49.13,-19.27,-1.45,458,916,-10.61,-0.51,-0.16
KVUE,VWAPReversalStrategy,46.26,-20.56,-8.11,428,856,-16.67,-3.15,-0.46
KDP,VWAPReversalStrategy,47.2,-10.26,-0.67,411,822,-8.89,-0.23,-0.13
