Stock,Strategy,Win Rate,Max Drawdown,Return [%],Total Trades,Total Commissions [$],Net Return [%],CAGR [%],Sharpe Ratio
AES,HOLCStrategy_SMA50,41.3,-5.55,4.57,46,92,3.65,1.58,0.53
AMCR,HOLCStrategy_SMA50,36.36,-7.68,-0.41,55,110,-1.51,-0.14,-0.05
APA,HOLCStrategy_SMA50,37.04,-6.63,-0.6,54,108,-1.68,-0.21,-0.09
T,HOLCStrategy_SMA50,41.82,-6.11,4.92,55,110,3.82,1.7,0.52
BKR,HOLCStrategy_SMA50,41.27,-4.59,4.58,63,126,3.32,1.59,0.45
BAC,HOLCStrategy_SMA50,40.35,-6.41,6.58,57,114,5.44,2.26,0.69
BAX,HOLCStrategy_SMA50,25.45,-9.87,-7.22,55,110,-8.32,-2.6,-0.98
CZR,HOLCStrategy_SMA50,44.68,-3.96,9.29,47,94,8.35,3.17,0.9
CCL,HOLCStrategy_SMA50,39.66,-4.66,-0.37,58,116,-1.53,-0.13,-0.04
CNP,HOLCStrategy_SMA50,38.46,-4.31,1.39,39,78,0.61,0.48,0.19
CFG,HOLCStrategy_SMA50,42.86,-5.35,4.62,63,126,3.36,1.6,0.5
CMCSA,HOLCStrategy_SMA50,36.73,-6.58,0.82,49,98,-0.16,0.29,0.1
CAG,HOLCStrategy_SMA50,43.18,-2.95,5.04,44,88,4.16,1.74,0.57
CTRA,HOLCStrategy_SMA50,36.96,-4.52,2.01,46,92,1.09,0.7,0.27
CSX,HOLCStrategy_SMA50,46.67,-4.41,13.31,60,120,12.11,4.48,1.07
DVN,HOLCStrategy_SMA50,40.0,-4.04,3.28,60,120,2.08,1.14,0.36
DOW,HOLCStrategy_SMA50,40.62,-7.9,6.05,64,128,4.77,2.08,0.6
EXC,HOLCStrategy_SMA50,45.24,-5.57,7.62,42,84,6.78,2.61,0.9
FITB,HOLCStrategy_SMA50,44.44,-4.3,9.93,54,108,8.85,3.38,1.01
FE,HOLCStrategy_SMA50,47.92,-4.6,10.03,48,96,9.07,3.41,1.14
BEN,HOLCStrategy_SMA50,38.78,-4.96,-0.08,49,98,-1.06,-0.03,-0.01
FCX,HOLCStrategy_SMA50,42.17,-5.05,13.72,83,166,12.06,4.61,0.97
GEN,HOLCStrategy_SMA50,30.43,-7.52,-3.95,46,92,-4.87,-1.4,-0.47
GM,HOLCStrategy_SMA50,43.75,-6.24,7.33,64,128,6.05,2.51,0.74
HAL,HOLCStrategy_SMA50,47.17,-3.17,9.84,53,106,8.78,3.35,1.03
DOC,HOLCStrategy_SMA50,34.04,-6.64,-3.18,47,94,-4.12,-1.13,-0.4
HPE,HOLCStrategy_SMA50,36.51,-6.77,2.05,63,126,0.79,0.71,0.19
HST,HOLCStrategy_SMA50,35.71,-5.86,-0.0,42,84,-0.84,-0.0,-0.0
HPQ,HOLCStrategy_SMA50,31.58,-7.96,-3.22,57,114,-4.36,-1.14,-0.37
HBAN,HOLCStrategy_SMA50,29.31,-12.75,-8.6,58,116,-9.76,-3.11,-1.04
INTC,HOLCStrategy_SMA50,42.31,-7.07,7.51,52,104,6.47,2.57,0.75
IPG,HOLCStrategy_SMA50,32.65,-8.62,-1.73,49,98,-2.71,-0.61,-0.2
IVZ,HOLCStrategy_SMA50,45.16,-5.24,10.23,62,124,8.99,3.48,1.0
JNPR,HOLCStrategy_SMA50,46.15,-3.68,7.02,39,78,6.24,2.41,0.8
KVUE,HOLCStrategy_SMA50,42.86,-2.9,3.45,35,70,2.75,1.29,0.49
KDP,HOLCStrategy_SMA50,27.03,-11.84,-9.31,37,74,-10.05,-3.37,-1.46
KEY,HOLCStrategy_SMA50,36.54,-5.64,-2.07,52,104,-3.11,-0.73,-0.25
KIM,HOLCStrategy_SMA50,34.69,-9.56,-3.54,49,98,-4.52,-1.26,-0.46
KMI,HOLCStrategy_SMA50,37.21,-6.39,1.62,43,86,0.76,0.56,0.19
KHC,HOLCStrategy_SMA50,39.13,-4.58,3.53,46,92,2.61,1.22,0.47
LVS,HOLCStrategy_SMA50,32.65,-6.77,-4.67,49,98,-5.65,-1.66,-0.61
MTCH,HOLCStrategy_SMA50,48.0,-4.14,5.08,50,100,4.08,1.75,0.49
MGM,HOLCStrategy_SMA50,46.0,-3.81,9.2,50,100,8.2,3.14,1.04
MRNA,HOLCStrategy_SMA50,40.32,-9.72,-0.94,62,124,-2.18,-0.33,-0.09
MOS,HOLCStrategy_SMA50,38.18,-4.7,3.53,55,110,2.43,1.23,0.31
NEM,HOLCStrategy_SMA50,36.76,-9.39,-1.29,68,136,-2.65,-0.45,-0.14
NI,HOLCStrategy_SMA50,44.44,-6.19,3.82,45,90,2.92,1.32,0.46
NCLH,HOLCStrategy_SMA50,41.3,-4.5,0.49,46,92,-0.43,0.17,0.06
PARA,HOLCStrategy_SMA50,44.64,-3.89,9.9,56,112,8.78,3.37,0.93
PFE,HOLCStrategy_SMA50,39.53,-5.03,4.2,43,86,3.34,1.46,0.52
PCG,HOLCStrategy_SMA50,44.44,-3.59,3.78,45,90,2.88,1.31,0.41
PPL,HOLCStrategy_SMA50,20.93,-13.57,-10.58,43,86,-11.44,-3.85,-1.6
RF,HOLCStrategy_SMA50,30.91,-10.25,-5.67,55,110,-6.77,-2.03,-0.62
SLB,HOLCStrategy_SMA50,50.0,-5.37,14.02,68,136,12.66,4.72,1.23
LUV,HOLCStrategy_SMA50,44.9,-4.47,5.0,49,98,4.02,1.73,0.62
TFC,HOLCStrategy_SMA50,44.26,-6.37,6.11,61,122,4.89,2.11,0.58
USB,HOLCStrategy_SMA50,33.33,-7.18,1.3,54,108,0.22,0.45,0.12
VZ,HOLCStrategy_SMA50,46.67,-4.1,8.95,45,90,8.05,3.06,1.0
VTRS,HOLCStrategy_SMA50,32.5,-6.6,-1.0,40,80,-1.8,-0.35,-0.12
VICI,HOLCStrategy_SMA50,20.83,-13.88,-11.74,48,96,-12.7,-4.29,-1.57
WBA,HOLCStrategy_SMA50,20.41,-16.88,-13.19,49,98,-14.17,-4.85,-1.86
WBD,HOLCStrategy_SMA50,38.78,-4.63,-1.17,49,98,-2.15,-0.41,-0.15
WY,HOLCStrategy_SMA50,37.5,-10.09,-1.45,48,96,-2.41,-0.51,-0.16
