Stock,Strategy,Win Rate,Max Drawdown,Return [%],Total Trades,Total Commissions [$],Net Return [%],CAGR [%],Sharpe Ratio
AES,VWAPReversalStrategy,45.13,-22.12,-2.89,483,966,-12.55,-1.02,-0.14
AMCR,VWAPReversalStrategy,41.37,-20.16,-15.23,423,846,-23.69,-5.63,-1.11
APA,VWAPReversalStrategy,47.92,-15.61,12.87,480,960,3.27,4.34,0.49
T,VWAPReversalStrategy,48.65,-19.06,-5.23,481,962,-14.85,-1.87,-0.35
BKR,VWAPReversalStrategy,46.33,-25.01,-15.73,477,954,-25.27,-5.83,-0.81
BAC,VWAPReversalStrategy,48.62,-16.4,0.53,471,942,-8.89,0.18,0.08
BAX,VWAPReversalStrategy,45.01,-16.74,-8.48,471,942,-17.9,-3.06,-0.42
CZR,VWAPReversalStrategy,46.64,-13.31,59.06,476,952,49.54,17.68,1.3
CCL,VWAPReversalStrategy,45.21,-30.95,-13.48,480,960,-23.08,-4.95,-0.5
CNP,VWAPReversalStrategy,48.0,-10.81,0.95,475,950,-8.55,0.33,0.07
CFG,VWAPReversalStrategy,47.33,-20.36,-6.49,469,938,-15.87,-2.33,-0.24
CMCSA,VWAPReversalStrategy,52.54,-8.79,36.06,472,944,26.62,11.41,1.63
CAG,VWAPReversalStrategy,50.53,-11.95,19.67,475,950,10.17,6.5,1.01
CTRA,VWAPReversalStrategy,47.63,-11.74,0.72,443,886,-8.14,0.25,0.07
CSX,VWAPReversalStrategy,49.22,-17.8,-5.11,447,894,-14.05,-1.82,-0.32
DVN,VWAPReversalStrategy,48.03,-15.87,-0.96,483,966,-10.62,-0.34,-0.01
DOW,VWAPReversalStrategy,48.25,-15.07,-6.77,487,974,-16.51,-2.43,-0.37
EXC,VWAPReversalStrategy,45.06,-13.24,-6.18,486,972,-15.9,-2.21,-0.41
FITB,VWAPReversalStrategy,49.57,-11.89,31.53,460,920,22.33,10.09,1.05
FE,VWAPReversalStrategy,52.63,-6.45,15.16,418,836,6.8,5.08,0.93
BEN,VWAPReversalStrategy,48.07,-12.82,13.68,466,932,4.36,4.6,0.61
FCX,VWAPReversalStrategy,43.1,-31.92,-14.33,464,928,-23.61,-5.28,-0.65
GEN,VWAPReversalStrategy,47.45,-15.63,29.49,451,902,20.47,9.49,1.15
GM,VWAPReversalStrategy,45.51,-19.59,-1.39,468,936,-10.75,-0.49,-0.09
HAL,VWAPReversalStrategy,49.79,-13.15,12.44,478,956,2.88,4.2,0.5
DOC,VWAPReversalStrategy,49.33,-7.47,23.51,448,896,14.55,7.69,1.0
HPE,VWAPReversalStrategy,47.51,-17.88,1.76,482,964,-7.88,0.61,0.11
HST,VWAPReversalStrategy,46.94,-9.69,12.7,441,882,3.88,4.28,0.53
HPQ,VWAPReversalStrategy,49.56,-15.92,6.62,454,908,-2.46,2.27,0.28
HBAN,VWAPReversalStrategy,46.54,-13.41,5.09,477,954,-4.45,1.76,0.27
INTC,VWAPReversalStrategy,39.34,-33.48,-33.27,488,976,-43.03,-13.23,-1.56
IPG,VWAPReversalStrategy,52.3,-11.55,31.84,478,956,22.28,10.18,1.28
IVZ,VWAPReversalStrategy,48.23,-15.62,28.4,452,904,19.36,9.16,0.98
JNPR,VWAPReversalStrategy,50.22,-18.02,2.42,458,916,-6.74,0.84,0.11
KVUE,VWAPReversalStrategy,46.96,-22.91,-9.81,428,856,-18.37,-3.83,-0.51
KDP,VWAPReversalStrategy,47.45,-10.11,-1.36,411,822,-9.58,-0.48,-0.18
KEY,VWAPReversalStrategy,47.42,-21.71,27.12,466,932,17.8,8.78,0.72
KIM,VWAPReversalStrategy,49.35,-16.11,11.97,462,924,2.73,4.05,0.54
KMI,VWAPReversalStrategy,45.53,-16.91,1.44,470,940,-7.96,0.5,0.08
KHC,VWAPReversalStrategy,48.09,-10.67,1.04,472,944,-8.4,0.37,0.05
LVS,VWAPReversalStrategy,48.48,-10.93,21.4,460,920,12.2,7.04,0.82
MTCH,VWAPReversalStrategy,50.0,-11.45,59.7,460,920,50.5,17.85,1.55
MGM,VWAPReversalStrategy,51.71,-8.77,69.96,468,936,60.6,20.45,1.91
MRNA,VWAPReversalStrategy,42.04,-27.14,9.64,490,980,-0.16,3.28,0.28
MOS,VWAPReversalStrategy,47.53,-16.45,31.88,486,972,22.16,10.2,0.96
NEM,VWAPReversalStrategy,49.31,-15.71,12.14,434,868,3.46,4.1,0.58
NI,VWAPReversalStrategy,50.0,-11.39,2.08,478,956,-7.48,0.72,0.19
NCLH,VWAPReversalStrategy,43.15,-29.76,6.92,482,964,-2.72,2.38,0.24
PARA,VWAPReversalStrategy,42.64,-18.82,20.26,462,924,11.02,6.7,0.46
PFE,VWAPReversalStrategy,48.66,-16.68,9.06,448,896,0.1,3.09,0.51
PCG,VWAPReversalStrategy,50.34,-9.46,24.69,437,874,15.95,8.06,1.19
PPL,VWAPReversalStrategy,47.56,-10.58,2.89,471,942,-6.53,1.0,0.25
RF,VWAPReversalStrategy,49.67,-15.08,16.03,461,922,6.81,5.36,0.66
SLB,VWAPReversalStrategy,48.92,-17.11,0.91,462,924,-8.33,0.32,-0.07
LUV,VWAPReversalStrategy,44.91,-22.91,-13.24,452,904,-22.28,-4.87,-0.76
TFC,VWAPReversalStrategy,48.49,-14.09,10.06,464,928,0.78,3.43,0.44
USB,VWAPReversalStrategy,48.3,-16.14,14.67,470,940,5.27,4.93,0.63
VZ,VWAPReversalStrategy,50.87,-11.76,-3.3,462,924,-12.54,-1.17,-0.18
VTRS,VWAPReversalStrategy,44.74,-16.06,-10.51,456,912,-19.63,-3.83,-0.57
VICI,VWAPReversalStrategy,44.55,-23.74,-19.47,422,844,-27.91,-7.33,-1.48
WBA,VWAPReversalStrategy,42.41,-19.03,43.74,474,948,34.26,13.6,0.75
WBD,VWAPReversalStrategy,42.8,-14.0,38.13,479,958,28.55,12.02,0.83
WY,VWAPReversalStrategy,51.99,-9.24,28.16,402,804,20.12,9.11,1.4
