Stock,Strategy,Win Rate,Max Drawdown,Return [%],Total Trades,Total Commissions [$],Net Return [%],CAGR [%],Sharpe Ratio
AES,VWAPReversal,32.41,20.67,-15.7,108,216,-18.23,0,-0.64
AES,VWAPReversalRSI,29.41,22.15,-21.48,85,170,-23.59,0,-2.08
AMCR,VWAPReversal,12.5,4.49,-2.21,8,16,-2.38,0,-1.02
AMCR,VWAPReversalRSI,14.29,3.53,-1.21,7,14,-1.36,0,-1.06
APA,VWAPReversal,33.33,21.16,-17.9,114,228,-20.63,0,-0.89
APA,VWAPReversalRSI,34.94,14.66,-7.03,83,166,-8.81,0,-0.39
T,VWAPReversal,33.33,4.25,-2.3,12,24,-2.55,0,-1.2
T,VWAPReversalRSI,36.36,3.86,-1.89,11,22,-2.11,0,-1.22
BKR,VWAPReversal,44.68,9.58,1.52,47,94,0.59,0,-0.06
BKR,VWAPReversalRSI,40.62,7.29,-1.03,32,64,-1.68,0,-0.41
BAC,VWAPReversal,54.05,3.77,3.85,37,74,3.14,0,0.48
BAC,VWAPReversalRSI,56.67,3.14,5.8,30,60,5.24,0,1.21
BAX,VWAPReversal,40.48,9.83,1.29,42,84,0.46,0,-0.11
BAX,VWAPReversalRSI,36.36,8.14,-0.39,33,66,-1.05,0,-0.32
CZR,VWAPReversal,39.49,14.88,7.73,157,314,4.83,0,0.4
CZR,VWAPReversalRSI,42.86,10.21,14.17,98,196,12.46,0,1.25
CCL,VWAPReversal,44.55,17.07,11.98,202,404,8.39,0,0.27
CCL,VWAPReversalRSI,43.9,9.99,12.35,123,246,10.18,0,0.5
CNP,VWAPReversal,61.11,2.6,4.61,18,36,4.26,0,0.96
CNP,VWAPReversalRSI,57.14,3.9,4.59,14,28,4.33,0,1.47
CFG,VWAPReversal,40.59,20.67,-12.76,101,202,-15.05,0,-1.07
CFG,VWAPReversalRSI,32.84,20.83,-18.89,67,134,-20.51,0,-1.29
CMCSA,VWAPReversal,68.75,3.32,12.71,16,32,12.43,0,2.4
CMCSA,VWAPReversalRSI,45.45,2.33,1.08,11,22,0.86,0,-0.5
CAG,VWAPReversal,44.44,4.55,0.66,18,36,0.3,0,-0.3
CAG,VWAPReversalRSI,53.85,3.37,2.42,13,26,2.17,0,-0.1
CTRA,VWAPReversal,46.15,4.57,-0.34,26,52,-0.86,0,-1.41
CTRA,VWAPReversalRSI,50.0,2.84,2.6,16,32,2.29,0,-0.07
CSX,VWAPReversal,42.86,2.64,-0.66,7,14,-0.8,0,-5.93
CSX,VWAPReversalRSI,42.86,2.64,-0.66,7,14,-0.8,0,-5.93
DVN,VWAPReversal,54.39,5.69,13.75,57,114,12.76,0,8.56
DVN,VWAPReversalRSI,54.76,4.8,12.71,42,84,11.97,0,1.61
DOW,VWAPReversal,50.0,4.36,2.07,18,36,1.71,0,-0.1
DOW,VWAPReversalRSI,60.0,4.36,3.81,15,30,3.52,0,0.11
EXC,VWAPReversal,27.78,7.83,-7.06,18,36,-7.45,0,-0.99
EXC,VWAPReversalRSI,21.43,5.92,-4.48,14,28,-4.78,0,-0.85
FITB,VWAPReversal,44.07,9.94,-0.12,59,118,-1.3,0,-0.25
FITB,VWAPReversalRSI,41.03,11.26,-4.24,39,78,-5.05,0,-2.05
FE,VWAPReversal,44.44,1.89,1.2,9,18,1.03,0,-0.28
FE,VWAPReversalRSI,40.0,1.83,-0.34,5,10,-0.44,0,-1.45
BEN,VWAPReversal,45.24,5.51,1.82,42,84,0.99,0,-0.15
BEN,VWAPReversalRSI,45.16,5.61,1.8,31,62,1.19,0,-0.15
FCX,VWAPReversal,45.07,10.49,-0.86,71,142,-2.29,0,-0.32
FCX,VWAPReversalRSI,52.27,7.06,3.09,44,88,2.23,0,0.03
