Stock,Strategy,Win Rate,Max Drawdown,Return [%],Total Trades,Total Commissions [$],Net Return [%],CAGR [%],Sharpe Ratio
AES,PivotVWAPStrategy,28.89,-3.99,-2.63,45,90,-3.53,-0.93,-0.27
AMCR,PivotVWAPStrategy,32.56,-5.85,2.67,43,86,1.81,0.93,0.24
APA,PivotVWAPStrategy,36.67,-10.12,2.43,30,60,1.83,0.85,0.26
ADM,PivotVWAPStrategy,41.86,-5.25,7.24,43,86,6.38,2.48,0.72
T,PivotVWAPStrategy,30.0,-14.78,-13.43,40,80,-14.23,-4.93,-0.92
BKR,PivotVWAPStrategy,34.62,-5.4,-1.39,26,52,-1.91,-0.49,-0.2
BAC,PivotVWAPStrategy,43.59,-7.0,8.88,39,78,8.1,3.03,0.82
BAX,PivotVWAPStrategy,28.3,-10.61,-4.49,53,106,-5.55,-1.6,-0.43
BWA,PivotVWAPStrategy,25.81,-9.6,-8.11,31,62,-8.73,-2.92,-0.96
CZR,PivotVWAPStrategy,40.0,-4.24,6.07,35,70,5.37,2.09,0.54
CPB,PivotVWAPStrategy,42.86,-3.68,9.58,35,70,8.88,3.26,0.68
CCL,PivotVWAPStrategy,32.26,-6.31,-1.08,31,62,-1.7,-0.38,-0.13
CNP,PivotVWAPStrategy,37.93,-4.0,1.71,29,58,1.13,0.6,0.23
CFG,PivotVWAPStrategy,28.0,-6.24,-2.44,25,50,-2.94,-0.86,-0.36
CMCSA,PivotVWAPStrategy,29.73,-5.66,-3.79,37,74,-4.53,-1.35,-0.4
CAG,PivotVWAPStrategy,45.95,-4.13,8.68,37,74,7.94,2.96,0.98
CTRA,PivotVWAPStrategy,33.33,-6.53,-0.66,24,48,-1.14,-0.23,-0.1
CSX,PivotVWAPStrategy,31.25,-9.06,-5.25,32,64,-5.89,-1.87,-0.69
DVN,PivotVWAPStrategy,35.48,-6.89,-0.31,31,62,-0.93,-0.11,-0.03
DOW,PivotVWAPStrategy,42.11,-4.58,2.77,19,38,2.39,0.96,0.4
EXC,PivotVWAPStrategy,29.17,-5.77,-3.02,24,48,-3.5,-1.07,-0.48
FITB,PivotVWAPStrategy,50.0,-3.01,8.04,32,64,7.4,2.75,0.93
FE,PivotVWAPStrategy,48.39,-5.18,6.81,31,62,6.19,2.34,0.84
BEN,PivotVWAPStrategy,32.43,-7.87,-1.01,37,74,-1.75,-0.35,-0.11
FCX,PivotVWAPStrategy,35.71,-10.16,-2.26,28,56,-2.82,-0.8,-0.17
GEN,PivotVWAPStrategy,36.59,-8.91,-0.92,41,82,-1.74,-0.32,-0.08
GM,PivotVWAPStrategy,46.34,-5.64,7.08,41,82,6.26,2.43,0.61
HAL,PivotVWAPStrategy,37.93,-6.45,2.18,29,58,1.6,0.76,0.28
DOC,PivotVWAPStrategy,42.86,-3.44,5.19,21,42,4.77,1.79,0.78
HPE,PivotVWAPStrategy,31.82,-7.27,5.89,44,88,5.01,2.03,0.23
HRL,PivotVWAPStrategy,45.16,-15.85,-9.18,31,62,-9.8,-3.32,-0.5
HST,PivotVWAPStrategy,32.56,-6.12,-2.78,43,86,-3.64,-0.98,-0.31
HPQ,PivotVWAPStrategy,39.47,-3.57,4.47,38,76,3.71,1.54,0.48
HBAN,PivotVWAPStrategy,51.85,-4.12,10.12,27,54,9.58,3.44,1.2
INTC,PivotVWAPStrategy,38.89,-7.94,-1.72,36,72,-2.44,-0.61,-0.12
IPG,PivotVWAPStrategy,32.43,-10.85,-6.79,37,74,-7.53,-2.44,-0.6
IVZ,PivotVWAPStrategy,33.33,-9.38,-0.89,39,78,-1.67,-0.31,-0.09
INVH,PivotVWAPStrategy,21.43,-9.51,-8.69,28,56,-9.25,-3.14,-1.57
JNPR,PivotVWAPStrategy,38.0,-10.36,-4.82,50,100,-5.82,-1.72,-0.39
KVUE,PivotVWAPStrategy,42.86,-6.57,4.27,49,98,3.29,1.6,0.42
KDP,PivotVWAPStrategy,37.5,-6.25,-3.04,40,80,-3.84,-1.08,-0.34
KEY,PivotVWAPStrategy,48.15,-4.61,9.54,27,54,9.0,3.25,1.14
KIM,PivotVWAPStrategy,39.02,-7.32,3.26,41,82,2.44,1.13,0.37
KMI,PivotVWAPStrategy,42.86,-5.95,-0.69,35,70,-1.39,-0.24,-0.09
KHC,PivotVWAPStrategy,42.31,-3.74,3.29,26,52,2.77,1.14,0.45
LVS,PivotVWAPStrategy,28.57,-12.51,-3.84,28,56,-4.4,-1.37,-0.37
MTCH,PivotVWAPStrategy,34.38,-8.14,2.39,32,64,1.75,0.83,0.27
MGM,PivotVWAPStrategy,31.82,-6.23,-1.71,22,44,-2.15,-0.6,-0.27
MRNA,PivotVWAPStrategy,38.1,-9.88,3.65,42,84,2.81,1.26,0.34
MOS,PivotVWAPStrategy,32.43,-5.61,-1.16,37,74,-1.9,-0.41,-0.12
NEM,PivotVWAPStrategy,54.55,-3.62,11.88,22,44,11.44,4.02,1.42
NWSA,PivotVWAPStrategy,31.25,-12.24,-9.04,32,64,-9.68,-3.27,-0.66
NI,PivotVWAPStrategy,33.33,-6.13,-2.76,27,54,-3.3,-0.98,-0.42
NCLH,PivotVWAPStrategy,45.45,-11.36,-3.91,22,44,-4.35,-1.39,-0.32
