Stock,Strategy,Win Rate,Max Drawdown,Return [%],Total Trades,Total Commissions [$],Net Return [%],CAGR [%],Sharpe Ratio
AES,VWAPReversal,36.36,15.63,-0.42,121,242,-2.85,0,-0.17
AES,VWAPReversalRSI,31.87,15.35,-10.27,91,182,-12.29,0,-1.32
AMCR,VWAPReversal,12.5,3.45,-3.51,8,16,-3.67,0,-2.6
AMCR,VWAPReversalRSI,28.57,3.16,-0.59,7,14,-0.73,0,-1.11
APA,VWAPReversal,33.64,28.6,-24.53,107,214,-27.27,0,-1.03
APA,VWAPReversalRSI,34.72,17.7,-12.07,72,144,-13.69,0,-0.81
T,VWAPReversal,20.0,5.51,-5.04,10,20,-5.25,0,-2.22
T,VWAPReversalRSI,25.0,10.58,-10.55,12,24,-10.81,0,-1.04
BKR,VWAPReversal,41.67,10.36,2.06,48,96,1.12,0,-0.11
BKR,VWAPReversalRSI,38.71,6.24,4.47,31,62,3.87,0,0.56
BAC,VWAPReversal,57.89,5.87,1.87,38,76,1.12,0,-0.32
BAC,VWAPReversalRSI,66.67,4.35,4.13,27,54,3.61,0,0.79
BAX,VWAPReversal,39.02,11.68,-4.85,41,82,-5.71,0,-0.48
BAX,VWAPReversalRSI,33.33,7.35,-4.54,30,60,-5.17,0,-1.57
CZR,VWAPReversal,46.58,10.86,26.88,161,322,24.42,0,1.75
CZR,VWAPReversalRSI,45.45,6.55,21.33,99,198,19.73,0,2.91
CCL,VWAPReversal,49.0,21.71,8.91,200,400,5.25,0,0.32
CCL,VWAPReversalRSI,36.11,22.66,-12.88,108,216,-15.33,0,-0.81
CNP,VWAPReversal,47.83,4.85,3.71,23,46,3.26,0,0.37
CNP,VWAPReversalRSI,42.86,6.49,1.96,21,42,1.55,0,-0.34
CFG,VWAPReversal,38.24,27.46,-19.02,102,204,-21.49,0,-0.81
CFG,VWAPReversalRSI,38.36,18.54,-14.64,73,146,-16.33,0,-0.82
CMCSA,VWAPReversal,66.67,2.28,8.92,18,36,8.59,0,0.53
CMCSA,VWAPReversalRSI,57.14,3.05,5.96,14,28,5.69,0,0.38
CAG,VWAPReversal,43.75,2.85,-1.2,16,32,-1.52,0,-1.26
CAG,VWAPReversalRSI,53.85,2.02,1.09,13,26,0.84,0,-0.52
CTRA,VWAPReversal,48.39,6.08,1.49,31,62,0.88,0,-0.31
CTRA,VWAPReversalRSI,52.94,3.69,3.27,17,34,2.94,0,0.12
CSX,VWAPReversal,55.56,3.19,0.8,9,18,0.62,0,-0.55
CSX,VWAPReversalRSI,42.86,3.19,-1.99,7,14,-2.13,0,-3.55
DVN,VWAPReversal,50.85,7.37,2.0,59,118,0.85,0,-0.27
DVN,VWAPReversalRSI,47.62,4.65,3.33,42,84,2.52,0,0.06
DOW,VWAPReversal,47.06,4.81,0.41,17,34,0.08,0,-0.3
DOW,VWAPReversalRSI,58.33,4.14,1.98,12,24,1.75,0,-0.11
EXC,VWAPReversal,52.0,6.43,-2.04,25,50,-2.55,0,-1.08
EXC,VWAPReversalRSI,57.14,5.95,0.28,21,42,-0.14,0,-0.48
