Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_RSI(C,14)","Exit_RSI(C,14)",Stock,Strategy
63,876,909,158.37,157.06280999999998,,160.48309431255544,-82.35297000000125,-0.008254025383595542,2023-04-14 15:06:00+00:00,2023-04-14 15:39:00+00:00,0 days 00:33:00,,17.408467056358358,34.47357741114978,MRNA,VWAPReversalRsiStrategy
-75,4823,4875,132.21,133.20596,,130.41411306247448,-74.69699999999975,-0.00753316693139694,2023-04-28 15:53:00+00:00,2023-04-28 16:45:00+00:00,0 days 00:52:00,,64.0139105300774,68.416674891249,MRNA,VWAPReversalRsiStrategy
75,5577,5841,131.17,131.53,130.24188,133.27727057693738,27.000000000001023,0.002744529999237688,2023-05-02 15:27:00+00:00,2023-05-02 19:51:00+00:00,0 days 04:24:00,,36.0763780652072,72.82575989663579,MRNA,VWAPReversalRsiStrategy
77,8275,8571,126.75,128.05,125.8131,128.76614026156213,100.10000000000088,0.010256410256410442,2023-05-11 14:55:00+00:00,2023-05-11 19:51:00+00:00,0 days 04:56:00,,24.597042014311622,75.19974302740458,MRNA,VWAPReversalRsiStrategy
-73,11408,11411,134.96,135.97521,,132.43918740492825,-74.11032999999972,-0.007522302904564349,2023-05-23 15:08:00+00:00,2023-05-23 15:11:00+00:00,0 days 00:03:00,,74.88701203978391,79.79396123599444,MRNA,VWAPReversalRsiStrategy
75,11779,12081,131.24,131.65,130.30146,135.62946459227152,30.749999999999744,0.003124047546479769,2023-05-24 14:49:00+00:00,2023-05-24 19:51:00+00:00,0 days 05:02:00,,33.04164348569948,47.20874689960656,MRNA,VWAPReversalRsiStrategy
78,13322,13574,125.69,128.1019893527956,124.76052,128.1019893527956,188.13516951805798,0.019189986099097833,2023-05-31 14:32:00+00:00,2023-05-31 18:44:00+00:00,0 days 04:12:00,,29.561184639195588,68.5067738218375,MRNA,VWAPReversalRsiStrategy
-78,14956,15118,128.52,126.67890558808416,129.5002,126.67890558808416,143.60536412943608,0.014325353345127967,2023-06-06 15:46:00+00:00,2023-06-06 18:28:00+00:00,0 days 02:42:00,,79.75133825185054,30.203457120755704,MRNA,VWAPReversalRsiStrategy
-79,16915,17151,128.52,128.21,129.41964000000002,126.66058048896805,24.49000000000018,0.0024120759414877346,2023-06-13 15:55:00+00:00,2023-06-13 19:51:00+00:00,0 days 03:56:00,,74.04960123273688,50.549942596030306,MRNA,VWAPReversalRsiStrategy
79,18018,18053,129.04,128.03742,,130.87180141574143,-79.20381999999958,-0.007769528828270311,2023-06-16 14:48:00+00:00,2023-06-16 15:23:00+00:00,0 days 00:35:00,,27.790081562086755,25.450150215959543,MRNA,VWAPReversalRsiStrategy
81,22116,22243,124.84,123.98598,,126.90528351109177,-69.17562000000045,-0.006840916372957473,2023-07-05 14:36:00+00:00,2023-07-05 16:43:00+00:00,0 days 02:07:00,,22.680258963988713,31.657727266458068,MRNA,VWAPReversalRsiStrategy
-79,24065,24381,126.77,126.04,127.63725,124.98928357990269,57.66999999999919,0.005758460203518112,2023-07-12 14:35:00+00:00,2023-07-12 19:51:00+00:00,0 days 05:16:00,,86.08433416654833,37.01226974542978,MRNA,VWAPReversalRsiStrategy
101,31095,31108,100.75,100.04475,,103.18723423817417,-71.23025000000067,-0.007000000000000117,2023-08-07 14:45:00+00:00,2023-08-07 14:58:00+00:00,0 days 00:13:00,,28.207242984612552,28.855609177818764,MRNA,VWAPReversalRsiStrategy
