Stock,Strategy,Win Rate,Max Drawdown,Return [%],Total Trades,Total Commissions [$],Net Return [%],CAGR [%],Sharpe Ratio
AES,VWAPReversalStrategy,40.95,-33.05,15.03,486,972,5.31,5.04,0.34
AMCR,VWAPReversalStrategy,46.59,-17.91,-1.9,440,880,-10.7,-0.67,-0.06
APA,VWAPReversalStrategy,38.11,-36.57,-27.32,488,976,-37.08,-10.59,-0.91
T,VWAPReversalStrategy,55.17,-8.72,52.6,484,968,42.92,15.98,1.67
BKR,VWAPReversalStrategy,48.45,-21.17,9.96,483,966,0.3,3.39,0.32
BAC,VWAPReversalStrategy,46.64,-19.04,-6.01,476,952,-15.53,-2.15,-0.16
BAX,VWAPReversalStrategy,44.33,-19.64,5.65,476,952,-3.87,1.95,0.21
CZR,VWAPReversalStrategy,41.19,-20.45,46.8,488,976,37.04,14.42,0.8
CCL,VWAPReversalStrategy,42.04,-22.54,24.49,490,980,14.69,7.99,0.51
CNP,VWAPReversalStrategy,49.9,-12.0,9.94,479,958,0.36,3.38,0.39
CFG,VWAPReversalStrategy,45.44,-17.77,30.97,482,964,21.33,9.93,0.76
CMCSA,VWAPReversalStrategy,51.14,-13.6,48.06,481,962,38.44,14.76,1.24
CAG,VWAPReversalStrategy,50.83,-11.45,34.64,480,960,25.04,11.0,1.08
CTRA,VWAPReversalStrategy,43.58,-17.07,-2.1,452,904,-11.14,-0.74,-0.0
CSX,VWAPReversalStrategy,44.4,-29.97,-21.02,455,910,-30.12,-7.95,-1.05
DVN,VWAPReversalStrategy,46.12,-16.85,27.7,490,980,17.9,8.96,0.67
DOW,VWAPReversalStrategy,48.46,-12.17,7.02,487,974,-2.72,2.41,0.31
EXC,VWAPReversalStrategy,45.68,-16.43,6.81,486,972,-2.91,2.34,0.23
FITB,VWAPReversalStrategy,50.32,-9.47,122.96,473,946,113.5,32.48,1.61
FE,VWAPReversalStrategy,49.88,-11.06,24.0,413,826,15.74,7.84,0.92
BEN,VWAPReversalStrategy,48.1,-16.81,23.48,474,948,14.0,7.68,0.67
FCX,VWAPReversalStrategy,42.83,-42.38,-18.31,474,948,-27.79,-6.85,-0.66
GEN,VWAPReversalStrategy,48.59,-13.78,40.06,461,922,30.84,12.55,1.09
GM,VWAPReversalStrategy,46.01,-12.38,12.73,476,952,3.21,4.29,0.34
HAL,VWAPReversalStrategy,47.12,-14.97,13.71,486,972,3.99,4.61,0.41
DOC,VWAPReversalStrategy,46.49,-10.88,47.66,456,912,38.54,14.65,1.16
HPE,VWAPReversalStrategy,43.22,-20.69,19.71,479,958,10.13,6.51,0.48
HST,VWAPReversalStrategy,47.12,-24.69,2.68,452,904,-6.36,0.93,0.05
HPQ,VWAPReversalStrategy,46.02,-15.81,0.41,465,930,-8.89,0.14,0.07
HBAN,VWAPReversalStrategy,47.93,-14.83,51.45,484,968,41.77,15.68,1.17
INTC,VWAPReversalStrategy,40.94,-32.7,3.78,491,982,-6.04,1.31,0.11
IPG,VWAPReversalStrategy,48.86,-18.67,13.98,481,962,4.36,4.7,0.49
IVZ,VWAPReversalStrategy,43.8,-16.86,28.21,468,936,18.85,9.11,0.69
JNPR,VWAPReversalStrategy,48.58,-20.12,9.92,459,918,0.74,3.37,0.43
KVUE,VWAPReversalStrategy,46.98,-14.54,15.25,430,860,6.65,5.52,0.5
KDP,VWAPReversalStrategy,53.18,-8.08,21.62,425,850,13.12,7.11,0.86
KEY,VWAPReversalStrategy,45.26,-15.21,89.91,475,950,80.41,25.23,1.13
KIM,VWAPReversalStrategy,50.0,-16.8,38.0,468,936,28.64,11.96,1.06
KMI,VWAPReversalStrategy,49.79,-16.01,31.75,480,960,22.15,10.16,1.1
KHC,VWAPReversalStrategy,45.51,-14.95,10.1,479,958,0.52,3.43,0.39
LVS,VWAPReversalStrategy,45.49,-17.97,13.11,477,954,3.57,4.42,0.39
MTCH,VWAPReversalStrategy,43.8,-16.93,35.37,468,936,26.01,11.21,0.75
MGM,VWAPReversalStrategy,49.16,-18.0,72.33,476,952,62.81,21.04,1.42
MRNA,VWAPReversalStrategy,36.79,-52.02,-39.49,492,984,-49.33,-16.16,-1.06
MOS,VWAPReversalStrategy,42.21,-27.01,7.41,488,976,-2.35,2.54,0.2
NEM,VWAPReversalStrategy,43.02,-23.29,-1.16,451,902,-10.18,-0.41,-0.01
NI,VWAPReversalStrategy,49.79,-17.98,27.28,482,964,17.64,8.85,0.97
NCLH,VWAPReversalStrategy,39.88,-25.44,15.24,484,968,5.56,5.11,0.31
PARA,VWAPReversalStrategy,43.76,-19.85,76.65,473,946,67.19,22.13,1.08
PFE,VWAPReversalStrategy,49.67,-16.23,3.91,459,918,-5.27,1.36,0.13
PCG,VWAPReversalStrategy,46.74,-17.38,30.8,445,890,21.9,9.89,0.94
