"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2023-11-30T20:55:00.000Z","189.87","190.20","189.83","189.98","0.06","0.05","2,839,074"
"2023-12-01T14:30:00.000Z","190.33","190.49","189.44","189.50","-0.25","-0.25","1,932,144"
"2023-12-01T14:35:00.000Z","189.51","189.68","189.23","189.66","0.08","0.08","710,113"
"2023-12-01T14:40:00.000Z","189.66","189.90","189.59","189.77","0.06","0.06","517,361"
"2023-12-01T14:45:00.000Z","189.78","190.04","189.74","189.90","0.07","0.06","649,366"
"2023-12-01T14:50:00.000Z","189.90","190.24","189.89","190.18","0.14","0.14","740,010"
"2023-12-01T14:55:00.000Z","190.18","190.21","189.91","189.96","-0.11","-0.11","453,024"
"2023-12-01T15:00:00.000Z","189.97","190.50","189.93","190.32","0.19","0.19","987,842"
"2023-12-01T15:05:00.000Z","190.33","190.44","190.08","190.21","-0.06","-0.06","513,289"
"2023-12-01T15:10:00.000Z","190.21","190.41","190.12","190.22","0","0","551,638"
"2023-12-01T15:15:00.000Z","190.22","190.47","190.05","190.42","0.11","0.10","477,923"
"2023-12-01T15:20:00.000Z","190.42","190.48","190.04","190.07","-0.18","-0.18","562,002"
"2023-12-01T15:25:00.000Z","190.10","190.14","189.91","190.06","-0.01","-0.01","493,673"
"2023-12-01T15:30:00.000Z","190.06","190.30","189.92","190.21","0.08","0.08","647,199"
"2023-12-01T15:35:00.000Z","190.21","190.48","190.21","190.27","0.03","0.03","492,860"
"2023-12-01T15:40:00.000Z","190.26","190.30","190.13","190.26","-0.01","-0.01","385,195"
"2023-12-01T15:45:00.000Z","190.26","190.34","190.14","190.29","0.02","0.02","299,373"
"2023-12-01T15:50:00.000Z","190.29","190.35","190.21","190.31","0.01","0.01","277,392"
"2023-12-01T15:55:00.000Z","190.32","190.40","190.27","190.34","0.02","0.01","350,165"
"2023-12-01T16:00:00.000Z","190.35","190.81","190.18","190.70","0.19","0.19","1,075,999"
"2023-12-01T16:05:00.000Z","190.69","190.80","190.40","190.60","-0.05","-0.05","467,499"
"2023-12-01T16:10:00.000Z","190.61","190.95","190.55","190.92","0.17","0.17","619,876"
"2023-12-01T16:15:00.000Z","190.92","190.99","190.61","190.72","-0.10","-0.11","526,710"
"2023-12-01T16:20:00.000Z","190.72","190.75","190.38","190.57","-0.08","-0.08","396,286"
"2023-12-01T16:25:00.000Z","190.57","190.92","190.56","190.83","0.14","0.14","416,861"
"2023-12-01T16:30:00.000Z","190.84","191.02","190.60","190.99","0.08","0.08","644,178"
"2023-12-01T16:35:00.000Z","190.99","190.99","190.63","190.72","-0.14","-0.14","372,497"
"2023-12-01T16:40:00.000Z","190.71","191.25","190.64","191.14","0.22","0.22","711,088"
"2023-12-01T16:45:00.000Z","191.13","191.13","190.72","190.76","-0.20","-0.20","495,628"
"2023-12-01T16:50:00.000Z","190.76","191.20","190.62","191.11","0.18","0.18","634,007"
