"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2023-12-01T16:55:00.000Z","191.11","191.17","191.02","191.04","-0.04","-0.04","248,941"
"2023-12-01T17:00:00.000Z","191.04","191.12","190.96","191.09","0.03","0.02","358,937"
"2023-12-01T17:05:00.000Z","191.09","191.35","191.04","191.25","0.08","0.08","444,882"
"2023-12-01T17:10:00.000Z","191.24","191.36","191.19","191.29","0.02","0.02","330,166"
"2023-12-01T17:15:00.000Z","191.28","191.31","191.09","191.13","-0.09","-0.09","222,843"
"2023-12-01T17:20:00.000Z","191.05","191.28","191.05","191.27","0.08","0.08","411,222"
"2023-12-01T17:25:00.000Z","191.27","191.45","191.24","191.45","0.09","0.09","314,244"
"2023-12-01T17:30:00.000Z","191.44","191.49","191.29","191.32","-0.07","-0.07","358,952"
"2023-12-01T17:35:00.000Z","191.32","191.38","191.21","191.36","0.02","0.02","212,423"
"2023-12-01T17:40:00.000Z","191.37","191.44","191.24","191.38","0.01","0.01","264,530"
"2023-12-01T17:45:00.000Z","191.38","191.48","191.33","191.46","0.04","0.04","260,251"
"2023-12-01T17:50:00.000Z","191.45","191.50","191.36","191.46","0","0","260,432"
"2023-12-01T17:55:00.000Z","191.45","191.54","191.45","191.50","0.02","0.02","300,672"
"2023-12-01T18:00:00.000Z","191.50","191.56","191.33","191.41","-0.05","-0.05","260,759"
"2023-12-01T18:05:00.000Z","191.40","191.44","191.23","191.40","0","0","352,767"
"2023-12-01T18:10:00.000Z","191.40","191.41","191.12","191.21","-0.10","-0.11","290,568"
"2023-12-01T18:15:00.000Z","191.20","191.30","191.10","191.25","0.02","0.02","230,584"
"2023-12-01T18:20:00.000Z","191.26","191.30","191.11","191.26","0.01","0.01","231,612"
"2023-12-01T18:25:00.000Z","191.27","191.30","191.04","191.06","-0.11","-0.11","357,150"
"2023-12-01T18:30:00.000Z","191.05","191.10","190.96","191.01","-0.03","-0.03","403,218"
"2023-12-01T18:35:00.000Z","191.02","191.12","190.88","190.93","-0.04","-0.05","257,090"
"2023-12-01T18:40:00.000Z","190.91","191.10","190.82","191.07","0.07","0.07","291,239"
"2023-12-01T18:45:00.000Z","191.06","191.08","190.89","190.93","-0.07","-0.07","198,035"
"2023-12-01T18:50:00.000Z","190.92","191.10","190.92","191.06","0.07","0.07","178,034"
"2023-12-01T18:55:00.000Z","191.07","191.20","191.05","191.17","0.06","0.06","291,545"
"2023-12-01T19:00:00.000Z","191.18","191.26","191.13","191.20","0.02","0.01","327,789"
"2023-12-01T19:05:00.000Z","191.21","191.23","190.93","190.93","-0.14","-0.14","332,921"
"2023-12-01T19:10:00.000Z","190.93","191.09","190.91","191.06","0.07","0.07","271,690"
"2023-12-01T19:15:00.000Z","191.06","191.14","191.02","191.02","-0.02","-0.02","187,065"
"2023-12-01T19:20:00.000Z","191.02","191.21","190.96","191.18","0.08","0.08","227,371"
"2023-12-01T19:25:00.000Z","191.19","191.29","191.10","191.28","0.05","0.05","293,105"
"2023-12-01T19:30:00.000Z","191.28","191.32","191.19","191.30","0.01","0.01","255,824"
"2023-12-01T19:35:00.000Z","191.30","191.34","191.21","191.26","-0.02","-0.02","198,358"
"2023-12-01T19:40:00.000Z","191.27","191.31","191.06","191.12","-0.08","-0.08","207,098"
"2023-12-01T19:45:00.000Z","191.11","191.16","190.94","191.00","-0.06","-0.06","396,490"
"2023-12-01T19:50:00.000Z","190.99","191.10","190.96","191.07","0.04","0.04","188,273"
"2023-12-01T19:55:00.000Z","191.07","191.28","191.07","191.28","0.11","0.11","207,871"
"2023-12-01T20:00:00.000Z","191.26","191.31","191.20","191.22","-0.03","-0.03","178,765"
"2023-12-01T20:05:00.000Z","191.21","191.25","190.98","191.11","-0.06","-0.06","242,265"
"2023-12-01T20:10:00.000Z","191.10","191.24","191.08","191.15","0.02","0.02","268,735"
"2023-12-01T20:15:00.000Z","191.15","191.19","191.09","191.17","0.01","0.01","1,263,155"
"2023-12-01T20:20:00.000Z","191.16","191.17","190.92","190.95","-0.12","-0.12","289,995"
"2023-12-01T20:25:00.000Z","190.96","191.13","190.95","191.12","0.09","0.09","301,445"
"2023-12-01T20:30:00.000Z","191.12","191.21","191.08","191.19","0.04","0.04","387,482"
"2023-12-01T20:35:00.000Z","191.18","191.19","191.09","191.12","-0.04","-0.04","266,249"
"2023-12-01T20:40:00.000Z","191.12","191.16","190.99","191.04","-0.04","-0.04","427,105"
"2023-12-01T20:45:00.000Z","191.03","191.12","190.99","191.07","0.02","0.01","640,554"
"2023-12-01T20:50:00.000Z","191.07","191.14","190.88","190.93","-0.07","-0.07","745,143"
"2023-12-01T20:55:00.000Z","190.93","191.38","190.93","191.26","0.17","0.17","2,715,965"
"2023-12-04T14:30:00.000Z","189.82","189.83","189.54","189.73","-0.80","-0.80","2,436,609"
"2023-12-04T14:35:00.000Z","189.73","190.00","189.48","189.49","-0.13","-0.13","1,025,769"
"2023-12-04T14:40:00.000Z","189.48","189.54","189.08","189.10","-0.21","-0.21","1,077,607"
"2023-12-04T14:45:00.000Z","189.10","189.29","188.99","189.20","0.05","0.05","955,544"
"2023-12-04T14:50:00.000Z","189.20","189.49","188.93","189.47","0.14","0.14","729,152"
"2023-12-04T14:55:00.000Z","189.48","189.59","189.34","189.40","-0.04","-0.04","571,243"
"2023-12-04T15:00:00.000Z","189.40","189.56","189.26","189.48","0.04","0.04","534,607"
"2023-12-04T15:05:00.000Z","189.48","189.64","189.32","189.39","-0.04","-0.05","469,267"
"2023-12-04T15:10:00.000Z","189.39","189.63","189.38","189.43","0.02","0.02","504,303"
"2023-12-04T15:15:00.000Z","189.43","189.46","189.08","189.10","-0.17","-0.18","518,824"
"2023-12-04T15:20:00.000Z","189.11","189.21","188.49","188.51","-0.31","-0.31","802,073"
"2023-12-04T15:25:00.000Z","188.51","188.52","188.09","188.16","-0.19","-0.19","983,541"
"2023-12-04T15:30:00.000Z","188.16","188.28","187.85","187.90","-0.14","-0.14","1,330,536"
"2023-12-04T15:35:00.000Z","187.91","188.07","187.80","187.85","-0.03","-0.03","507,649"
"2023-12-04T15:40:00.000Z","187.85","188.14","187.77","188.02","0.09","0.09","576,071"
"2023-12-04T15:45:00.000Z","188.04","188.12","187.83","187.90","-0.07","-0.07","421,952"
"2023-12-04T15:50:00.000Z","187.90","187.91","187.75","187.82","-0.04","-0.05","442,288"
"2023-12-04T15:55:00.000Z","187.81","188.11","187.80","188.03","0.11","0.11","445,637"
"2023-12-04T16:00:00.000Z","188.02","188.02","187.61","187.74","-0.16","-0.16","518,735"
"2023-12-04T16:05:00.000Z","187.73","187.85","187.53","187.54","-0.10","-0.10","352,326"
"2023-12-04T16:10:00.000Z","187.54","187.74","187.45","187.65","0.05","0.05","442,313"
"2023-12-04T16:15:00.000Z","187.65","187.88","187.64","187.80","0.08","0.08","636,612"
"2023-12-04T16:20:00.000Z","187.80","187.99","187.70","187.89","0.05","0.05","564,309"
"2023-12-04T16:25:00.000Z","187.89","188.08","187.82","187.97","0.04","0.04","468,862"
"2023-12-04T16:30:00.000Z","187.96","188.09","187.88","187.97","0","0","322,920"
"2023-12-04T16:35:00.000Z","187.96","188.06","187.84","188.02","0.03","0.03","309,762"
"2023-12-04T16:40:00.000Z","188.02","188.05","187.85","187.89","-0.07","-0.07","271,657"
"2023-12-04T16:45:00.000Z","187.90","188.21","187.90","188.12","0.12","0.12","331,542"
"2023-12-04T16:50:00.000Z","188.12","188.24","188.07","188.07","-0.02","-0.03","300,255"
"2023-12-04T16:55:00.000Z","188.07","188.42","188.07","188.36","0.15","0.15","397,218"
"2023-12-04T17:00:00.000Z","188.37","188.45","188.22","188.37","0.01","0","414,291"
"2023-12-04T17:05:00.000Z","188.38","188.43","188.20","188.21","-0.08","-0.09","272,587"
"2023-12-04T17:10:00.000Z","188.20","188.45","188.20","188.44","0.12","0.12","245,309"
"2023-12-04T17:15:00.000Z","188.44","188.57","188.26","188.26","-0.10","-0.10","288,463"
"2023-12-04T17:20:00.000Z","188.27","188.34","188.19","188.23","-0.02","-0.02","304,679"
"2023-12-04T17:25:00.000Z","188.23","188.57","188.23","188.45","0.12","0.12","354,742"
"2023-12-04T17:30:00.000Z","188.46","188.67","188.42","188.60","0.08","0.08","288,206"
"2023-12-04T17:35:00.000Z","188.60","188.65","188.50","188.64","0.02","0.02","200,311"
"2023-12-04T17:40:00.000Z","188.64","188.74","188.61","188.66","0.01","0.01","278,119"
"2023-12-04T17:45:00.000Z","188.66","188.72","188.59","188.61","-0.03","-0.03","208,010"
"2023-12-04T17:50:00.000Z","188.60","188.71","188.54","188.61","0","0","206,072"
"2023-12-04T17:55:00.000Z","188.61","188.77","188.60","188.67","0.03","0.03","191,147"
"2023-12-04T18:00:00.000Z","188.67","188.68","188.57","188.59","-0.04","-0.04","202,085"
"2023-12-04T18:05:00.000Z","188.59","188.66","188.49","188.56","-0.02","-0.02","273,330"
"2023-12-04T18:10:00.000Z","188.57","188.68","188.56","188.62","0.03","0.03","189,586"
"2023-12-04T18:15:00.000Z","188.63","188.75","188.61","188.71","0.05","0.05","194,182"
"2023-12-04T18:20:00.000Z","188.71","188.81","188.63","188.68","-0.02","-0.02","405,206"
"2023-12-04T18:25:00.000Z","188.67","188.68","188.54","188.55","-0.07","-0.07","184,436"
"2023-12-04T18:30:00.000Z","188.54","188.59","188.49","188.55","0","0","193,459"
"2023-12-04T18:35:00.000Z","188.54","188.78","188.54","188.65","0.05","0.05","235,751"
"2023-12-04T18:40:00.000Z","188.65","188.68","188.59","188.65","0.01","0","182,522"
"2023-12-04T18:45:00.000Z","188.65","188.76","188.64","188.64","-0.01","-0.01","206,423"
"2023-12-04T18:50:00.000Z","188.65","188.76","188.63","188.70","0.03","0.03","202,640"
"2023-12-04T18:55:00.000Z","188.70","188.72","188.60","188.66","-0.02","-0.02","220,781"
"2023-12-04T19:00:00.000Z","188.66","188.74","188.57","188.58","-0.05","-0.05","261,810"
"2023-12-04T19:05:00.000Z","188.59","188.65","188.49","188.55","-0.01","-0.01","233,935"
"2023-12-04T19:10:00.000Z","188.55","188.75","188.54","188.71","0.08","0.08","265,006"
"2023-12-04T19:15:00.000Z","188.72","188.88","188.71","188.82","0.06","0.06","337,892"
"2023-12-04T19:20:00.000Z","188.82","188.91","188.73","188.91","0.05","0.04","300,472"
"2023-12-04T19:25:00.000Z","188.91","188.96","188.79","188.85","-0.03","-0.03","251,439"
"2023-12-04T19:30:00.000Z","188.84","188.96","188.78","188.83","-0.01","-0.01","227,033"
"2023-12-04T19:35:00.000Z","188.82","189.05","188.82","188.99","0.08","0.08","277,664"
"2023-12-04T19:40:00.000Z","188.99","189.04","188.90","189.04","0.03","0.03","226,574"
"2023-12-04T19:45:00.000Z","189.04","189.09","188.89","189.07","0.02","0.01","248,666"
"2023-12-04T19:50:00.000Z","189.07","189.09","188.93","188.96","-0.06","-0.06","233,548"
"2023-12-04T19:55:00.000Z","188.96","189.13","188.96","189.01","0.02","0.02","214,613"
"2023-12-04T20:00:00.000Z","189.01","189.07","188.86","188.88","-0.07","-0.07","320,212"
"2023-12-04T20:05:00.000Z","188.88","188.91","188.72","188.79","-0.05","-0.05","344,128"
"2023-12-04T20:10:00.000Z","188.79","188.93","188.78","188.84","0.03","0.02","306,545"
"2023-12-04T20:15:00.000Z","188.84","188.90","188.74","188.89","0.03","0.03","315,115"
"2023-12-04T20:20:00.000Z","188.88","188.97","188.85","188.91","0.01","0.01","349,457"
"2023-12-04T20:25:00.000Z","188.93","189.07","188.85","189.06","0.08","0.08","339,232"
"2023-12-04T20:30:00.000Z","189.07","189.22","188.98","189.21","0.08","0.08","564,930"
"2023-12-04T20:35:00.000Z","189.21","189.27","189.11","189.25","0.02","0.02","473,209"
"2023-12-04T20:40:00.000Z","189.26","189.45","189.24","189.43","0.10","0.09","801,398"
"2023-12-04T20:45:00.000Z","189.43","189.49","189.35","189.45","0.01","0.01","656,506"
"2023-12-04T20:50:00.000Z","189.45","189.66","189.16","189.22","-0.12","-0.12","1,566,978"
"2023-12-04T20:55:00.000Z","189.21","189.50","189.19","189.45","0.12","0.12","1,485,810"
"2023-12-05T14:30:00.000Z","190.21","192.51","190.18","192.10","1.40","1.40","5,421,458"
"2023-12-05T14:35:00.000Z","192.09","192.93","192.01","192.44","0.18","0.18","2,538,838"
"2023-12-05T14:40:00.000Z","192.45","193.35","192.37","193.21","0.40","0.40","2,428,393"
"2023-12-05T14:45:00.000Z","193.24","193.24","192.74","192.83","-0.20","-0.20","1,381,705"
"2023-12-05T14:50:00.000Z","192.84","192.95","192.49","192.56","-0.14","-0.14","994,057"
"2023-12-05T14:55:00.000Z","192.54","192.97","192.52","192.69","0.07","0.07","1,129,263"
"2023-12-05T15:00:00.000Z","192.66","194.31","192.61","194.23","0.80","0.80","3,189,595"
"2023-12-05T15:05:00.000Z","194.22","194.28","193.30","193.34","-0.46","-0.46","1,531,437"
"2023-12-05T15:10:00.000Z","193.34","193.69","193.13","193.64","0.15","0.15","1,093,999"
"2023-12-05T15:15:00.000Z","193.64","193.91","193.39","193.89","0.13","0.13","672,010"
"2023-12-05T15:20:00.000Z","193.88","194.10","193.63","193.74","-0.08","-0.08","849,879"
"2023-12-05T15:25:00.000Z","193.73","193.88","193.20","193.59","-0.08","-0.08","842,396"
"2023-12-05T15:30:00.000Z","193.58","193.95","193.54","193.95","0.18","0.18","789,731"
"2023-12-05T15:35:00.000Z","193.96","194.03","193.65","193.84","-0.05","-0.06","681,603"
"2023-12-05T15:40:00.000Z","193.84","193.95","193.71","193.79","-0.03","-0.03","657,495"
"2023-12-05T15:45:00.000Z","193.79","194.16","193.71","194.14","0.18","0.18","860,536"
"2023-12-05T15:50:00.000Z","194.13","194.30","194.02","194.13","-0.01","-0.01","1,019,885"
"2023-12-05T15:55:00.000Z","194.12","194.36","194.12","194.26","0.07","0.07","790,217"
"2023-12-05T16:00:00.000Z","194.26","194.27","194.08","194.15","-0.05","-0.06","454,081"
"2023-12-05T16:05:00.000Z","194.15","194.40","194.13","194.23","0.04","0.04","624,587"
"2023-12-05T16:10:00.000Z","194.23","194.30","193.90","193.95","-0.14","-0.15","552,594"
"2023-12-05T16:15:00.000Z","193.96","194.01","193.48","193.54","-0.21","-0.21","643,799"
"2023-12-05T16:20:00.000Z","193.54","193.64","193.47","193.59","0.02","0.02","603,129"
"2023-12-05T16:25:00.000Z","193.59","193.80","193.52","193.56","-0.01","-0.02","653,476"
"2023-12-05T16:30:00.000Z","193.56","193.80","193.45","193.46","-0.05","-0.05","386,079"
"2023-12-05T16:35:00.000Z","193.47","193.63","193.32","193.37","-0.05","-0.05","636,048"
"2023-12-05T16:40:00.000Z","193.37","193.44","193.11","193.19","-0.09","-0.09","543,246"
"2023-12-05T16:45:00.000Z","193.20","193.32","193.06","193.15","-0.02","-0.02","499,680"
"2023-12-05T16:50:00.000Z","193.15","193.17","192.62","192.66","-0.26","-0.26","657,585"
"2023-12-05T16:55:00.000Z","192.63","193.22","192.63","193.21","0.29","0.29","626,474"
"2023-12-05T17:00:00.000Z","193.22","193.50","193.15","193.28","0.03","0.03","679,087"
"2023-12-05T17:05:00.000Z","193.27","193.37","193.17","193.35","0.04","0.04","308,384"
"2023-12-05T17:10:00.000Z","193.36","193.42","193.21","193.39","0.02","0.02","399,431"
"2023-12-05T17:15:00.000Z","193.40","193.52","193.34","193.48","0.05","0.05","513,158"
"2023-12-05T17:20:00.000Z","193.48","193.71","193.42","193.46","-0.01","-0.01","406,650"
"2023-12-05T17:25:00.000Z","193.46","193.78","193.42","193.76","0.15","0.15","418,528"
"2023-12-05T17:30:00.000Z","193.77","193.83","193.51","193.54","-0.11","-0.11","395,580"
"2023-12-05T17:35:00.000Z","193.54","193.71","193.49","193.59","0.02","0.02","304,122"
"2023-12-05T17:40:00.000Z","193.59","193.70","193.13","193.17","-0.22","-0.22","418,948"
"2023-12-05T17:45:00.000Z","193.18","193.35","192.95","193.31","0.07","0.07","437,639"
"2023-12-05T17:50:00.000Z","193.31","193.44","193.30","193.40","0.04","0.04","353,178"
"2023-12-05T17:55:00.000Z","193.40","193.66","193.31","193.62","0.12","0.12","347,633"
"2023-12-05T18:00:00.000Z","193.63","193.66","193.26","193.38","-0.12","-0.13","357,151"
"2023-12-05T18:05:00.000Z","193.38","193.44","193.21","193.31","-0.04","-0.04","310,366"
"2023-12-05T18:10:00.000Z","193.30","193.41","193.26","193.34","0.01","0.01","339,457"
"2023-12-05T18:15:00.000Z","193.34","193.39","193.21","193.38","0.02","0.02","288,139"
"2023-12-05T18:20:00.000Z","193.38","193.52","193.33","193.33","-0.03","-0.03","322,950"
"2023-12-05T18:25:00.000Z","193.33","193.37","193.13","193.14","-0.10","-0.10","289,254"
"2023-12-05T18:30:00.000Z","193.15","193.24","193.03","193.10","-0.02","-0.02","295,317"
"2023-12-05T18:35:00.000Z","193.10","193.15","192.90","193.04","-0.03","-0.03","1,098,778"
"2023-12-05T18:40:00.000Z","193.03","193.22","192.94","193.13","0.05","0.05","378,189"
"2023-12-05T18:45:00.000Z","193.13","193.16","192.86","192.96","-0.09","-0.09","924,381"
"2023-12-05T18:50:00.000Z","192.96","193.04","192.91","192.98","0.01","0.01","273,155"
"2023-12-05T18:55:00.000Z","192.98","193.01","192.85","192.91","-0.03","-0.03","304,051"
"2023-12-05T19:00:00.000Z","192.91","192.96","192.80","192.91","0","0","296,412"
"2023-12-05T19:05:00.000Z","192.91","193.02","192.75","192.99","0.04","0.04","401,569"
"2023-12-05T19:10:00.000Z","192.99","193.17","192.98","193.09","0.05","0.05","299,773"
"2023-12-05T19:15:00.000Z","193.08","193.31","193.08","193.26","0.09","0.09","385,411"
"2023-12-05T19:20:00.000Z","193.26","193.28","193.06","193.09","-0.09","-0.09","289,811"
"2023-12-05T19:25:00.000Z","193.09","193.12","192.97","192.99","-0.05","-0.05","276,774"
"2023-12-05T19:30:00.000Z","193.00","193.03","192.80","192.81","-0.09","-0.09","398,600"
"2023-12-05T19:35:00.000Z","192.82","193.07","192.77","193.05","0.12","0.12","447,572"
"2023-12-05T19:40:00.000Z","193.04","193.10","192.96","192.97","-0.04","-0.04","298,669"
"2023-12-05T19:45:00.000Z","192.96","193.16","192.96","193.13","0.08","0.08","350,772"
"2023-12-05T19:50:00.000Z","193.12","193.21","193.10","193.18","0.03","0.02","320,208"
"2023-12-05T19:55:00.000Z","193.18","193.26","193.12","193.22","0.02","0.02","365,593"
"2023-12-05T20:00:00.000Z","193.22","193.30","193.15","193.17","-0.03","-0.03","301,472"
"2023-12-05T20:05:00.000Z","193.17","193.23","193.14","193.18","0.01","0.01","398,599"
"2023-12-05T20:10:00.000Z","193.19","193.47","193.19","193.35","0.09","0.08","595,779"
"2023-12-05T20:15:00.000Z","193.35","193.40","193.32","193.37","0.01","0.01","300,961"
"2023-12-05T20:20:00.000Z","193.37","193.40","193.23","193.30","-0.04","-0.04","390,195"
"2023-12-05T20:25:00.000Z","193.30","193.36","193.10","193.19","-0.05","-0.06","619,203"
"2023-12-05T20:30:00.000Z","193.20","193.24","193.12","193.14","-0.03","-0.03","449,305"
"2023-12-05T20:35:00.000Z","193.14","193.19","193.06","193.08","-0.03","-0.03","480,107"
"2023-12-05T20:40:00.000Z","193.08","193.09","192.87","192.90","-0.10","-0.10","594,081"
"2023-12-05T20:45:00.000Z","192.90","193.08","192.87","193.04","0.08","0.07","725,501"
"2023-12-05T20:50:00.000Z","193.03","193.20","192.97","193.01","-0.02","-0.02","1,245,427"
"2023-12-05T20:55:00.000Z","193.02","193.54","193.01","193.50","0.25","0.25","2,924,065"
"2023-12-06T14:30:00.000Z","194.45","194.76","193.50","193.51","0","0","3,184,036"
"2023-12-06T14:35:00.000Z","193.51","193.76","193.12","193.20","-0.16","-0.16","972,480"
"2023-12-06T14:40:00.000Z","193.20","193.52","193.07","193.34","0.07","0.07","867,238"
"2023-12-06T14:45:00.000Z","193.34","193.34","193.01","193.12","-0.11","-0.11","609,785"
"2023-12-06T14:50:00.000Z","193.12","193.35","193.04","193.07","-0.02","-0.02","583,332"
"2023-12-06T14:55:00.000Z","193.07","193.23","192.96","193.15","0.04","0.04","681,172"
"2023-12-06T15:00:00.000Z","193.14","193.16","192.51","192.54","-0.32","-0.32","976,003"
"2023-12-06T15:05:00.000Z","192.54","192.90","192.48","192.82","0.15","0.14","675,383"
"2023-12-06T15:10:00.000Z","192.82","193.02","192.72","192.99","0.09","0.09","618,786"
"2023-12-06T15:15:00.000Z","192.99","193.13","192.77","192.90","-0.05","-0.05","723,214"
"2023-12-06T15:20:00.000Z","192.89","192.95","192.24","192.27","-0.32","-0.33","785,397"
"2023-12-06T15:25:00.000Z","192.26","192.50","192.21","192.42","0.08","0.08","584,067"
"2023-12-06T15:30:00.000Z","192.42","192.60","192.36","192.55","0.07","0.07","430,743"
"2023-12-06T15:35:00.000Z","192.55","192.62","192.42","192.50","-0.03","-0.03","385,493"
"2023-12-06T15:40:00.000Z","192.50","192.62","192.42","192.49","-0.01","-0.01","324,100"
"2023-12-06T15:45:00.000Z","192.49","192.69","192.46","192.56","0.04","0.04","323,551"
"2023-12-06T15:50:00.000Z","192.57","192.91","192.50","192.84","0.15","0.14","455,638"
"2023-12-06T15:55:00.000Z","192.84","192.87","192.65","192.65","-0.10","-0.10","265,986"
"2023-12-06T16:00:00.000Z","192.67","192.75","192.60","192.72","0.04","0.04","220,105"
"2023-12-06T16:05:00.000Z","192.73","192.98","192.72","192.96","0.12","0.12","302,104"
"2023-12-06T16:10:00.000Z","192.96","193.29","192.92","193.27","0.16","0.16","484,040"
"2023-12-06T16:15:00.000Z","193.27","193.31","193.14","193.17","-0.05","-0.05","322,261"
"2023-12-06T16:20:00.000Z","193.18","193.34","192.92","193.03","-0.07","-0.07","580,609"
"2023-12-06T16:25:00.000Z","193.02","193.33","192.99","193.10","0.03","0.03","279,844"
"2023-12-06T16:30:00.000Z","193.10","193.13","192.57","192.65","-0.23","-0.23","477,362"
"2023-12-06T16:35:00.000Z","192.66","192.81","192.59","192.60","-0.03","-0.03","359,403"
"2023-12-06T16:40:00.000Z","192.60","192.67","192.47","192.58","-0.01","-0.01","268,752"
"2023-12-06T16:45:00.000Z","192.58","192.66","192.50","192.52","-0.03","-0.03","306,611"
"2023-12-06T16:50:00.000Z","192.53","192.80","192.49","192.80","0.14","0.14","311,157"
"2023-12-06T16:55:00.000Z","192.80","193.09","192.80","193.04","0.12","0.12","297,456"
"2023-12-06T17:00:00.000Z","193.03","193.08","192.85","192.90","-0.07","-0.07","184,205"
"2023-12-06T17:05:00.000Z","192.92","193.06","192.85","192.88","-0.01","-0.01","299,881"
"2023-12-06T17:10:00.000Z","192.88","193.05","192.85","192.93","0.03","0.02","198,422"
"2023-12-06T17:15:00.000Z","192.92","193.04","192.89","192.90","-0.01","-0.01","163,179"
"2023-12-06T17:20:00.000Z","192.91","193.10","192.91","192.96","0.03","0.02","170,672"
"2023-12-06T17:25:00.000Z","192.96","193.02","192.73","192.83","-0.06","-0.07","215,226"
"2023-12-06T17:30:00.000Z","192.84","192.98","192.73","192.92","0.05","0.05","157,013"
"2023-12-06T17:35:00.000Z","192.91","192.97","192.83","192.87","-0.03","-0.03","178,260"
"2023-12-06T17:40:00.000Z","192.87","192.96","192.85","192.89","0.01","0.01","184,607"
"2023-12-06T17:45:00.000Z","192.89","192.93","192.67","192.78","-0.06","-0.06","235,051"
"2023-12-06T17:50:00.000Z","192.79","192.95","192.65","192.93","0.08","0.08","998,537"
"2023-12-06T17:55:00.000Z","192.94","192.94","192.65","192.70","-0.12","-0.12","184,917"
"2023-12-06T18:00:00.000Z","192.69","192.79","192.66","192.66","-0.02","-0.02","277,534"
"2023-12-06T18:05:00.000Z","192.67","192.68","192.37","192.63","-0.02","-0.02","279,998"
"2023-12-06T18:10:00.000Z","192.63","192.94","192.63","192.94","0.16","0.16","252,752"
"2023-12-06T18:15:00.000Z","192.94","192.95","192.81","192.88","-0.03","-0.03","188,454"
"2023-12-06T18:20:00.000Z","192.90","192.94","192.77","192.79","-0.05","-0.05","215,906"
"2023-12-06T18:25:00.000Z","192.79","192.91","192.71","192.91","0.06","0.06","236,605"
"2023-12-06T18:30:00.000Z","192.91","192.93","192.75","192.76","-0.07","-0.07","190,670"
"2023-12-06T18:35:00.000Z","192.76","192.86","192.76","192.82","0.03","0.02","172,999"
"2023-12-06T18:40:00.000Z","192.82","192.91","192.74","192.89","0.04","0.04","221,484"
"2023-12-06T18:45:00.000Z","192.90","192.99","192.88","192.93","0.02","0.02","230,400"
"2023-12-06T18:50:00.000Z","192.94","193.07","192.89","193.03","0.05","0.05","223,049"
"2023-12-06T18:55:00.000Z","193.05","193.24","193.03","193.15","0.06","0.06","345,014"
"2023-12-06T19:00:00.000Z","193.15","193.21","193.01","193.05","-0.05","-0.05","240,894"
