x,y,y_pred,spread,zscore,diff_norm
409.46,376.15,376.31274068435323,-0.16274068435325262,,0.08480034622777206
409.84,376.52,376.662526366389,-0.1425263663890064,,0.08474490055445343
409.61,376.35,376.4508139798937,-0.10081397989370089,,0.0846353503995114
410.46,377.03,377.23322932128946,-0.20322932128948423,,0.08490266543067215
410.29,376.92,377.07674625301036,-0.15674625301033984,,0.08478042707790806
410.11,376.76,376.9110582983618,-0.15105829836181783,,0.08476622567895592
410.56,377.18,377.3252781849831,-0.14527818498311262,,0.08474877497651508
410.56,377.18,377.3252781849831,-0.14527818498311262,,0.08474877497651508
410.72,377.33,377.47255636689295,-0.14255636689296125,,0.08474081593807511
410.91,377.46,377.6474492079108,-0.18744920791084496,,0.08485863236805065
411.2,377.72,377.9143909126223,-0.19439091262228203,,0.08487552603559285
411.19,377.75,377.9051860262529,-0.15518602625292033,,0.08477197252009024
411.07,377.63,377.7947273898206,-0.1647273898205981,,0.08479776847977684
410.36,377.04,377.14118045759585,-0.10118045759583083,,0.08463296926593851
410.27,376.9,377.0583364802716,-0.15833648027160052,,0.08478473519061958
409.71,376.38,376.5428628435873,-0.16286284358727698,,0.08479945044460555
409.31,376.02,376.1746673888128,-0.15466738881281117,,0.08477964677269434
409.0,375.73,375.8893159113626,-0.15931591136256884,,0.08479349585207646
408.98,375.74,375.87090613862387,-0.1309061386238568,,0.08471811601590379
408.73,375.49,375.6407839793898,-0.15078397938981425,,0.08477213026956723
408.57,375.34,375.49350579748,-0.15350579748002247,,0.08478014057736225
409.02,375.76,375.9077256841013,-0.14772568410131726,,0.08476260862916994
408.97,375.72,375.86170125225453,-0.14170125225450647,,0.08474684270221361
409.04,375.78,375.92613545684003,-0.14613545684005658,,0.08475828852475739
409.19,375.9,376.06420875238047,-0.16420875238048893,,0.08480556369333458
409.17,375.88,376.04579897964175,-0.1657989796417496,,0.08480988472071849
409.04,375.76,375.92613545684003,-0.1661354568400384,,0.08481141692150874
409.27,375.98,376.13784784333535,-0.15784784333533253,,0.08478828398599163
409.24,375.92,376.1102331842273,-0.19023318422728153,,0.08487442050028017
409.49,376.18,376.34035534346134,-0.16035534346133318,-0.22271112575834387,0.08479387019995673
409.59,376.27,376.43240420715495,-0.16240420715496384,-0.3164122558475184,0.08479881912808897
409.6,376.28,376.44160909352433,-0.16160909352436192,-0.252614365007795,0.08479666106784764
409.77,376.44,376.5980921618035,-0.15809216180349495,-0.005300194557902475,0.08478650742168119
409.86,376.51,376.68093613912777,-0.17093613912777528,-0.8043034823002695,0.0848201228429366
409.66,376.36,376.4968384117405,-0.1368384117404844,1.089602239191546,0.08473066843082876
409.64,376.33,376.4784286390018,-0.14842863900179282,0.4333116554611681,0.08476150489204423
409.71,376.37,376.5428628435873,-0.1728628435872679,-0.8777691328898017,0.08482597191125579
409.69,376.37,376.5244530708486,-0.1544530708486036,0.16443001606658048,0.08477724346741977
409.45,376.14,376.3035357979839,-0.16353579798391138,-0.30858219215134514,0.08480250512353774
409.59,376.29,376.43240420715495,-0.1424042071549252,0.8353746250017839,0.08474576271186429
409.39,376.15,376.2483064797677,-0.09830647976770024,2.9634357306985875,0.08462968149298575
409.28,376.01,376.1470527297047,-0.13705272970469196,0.8356694343144141,0.08473302856269654
409.23,375.95,376.1010282978579,-0.15102829785791982,0.06922934529752177,0.0847703711250924
409.47,376.14,376.3219455707226,-0.1819455707226325,-1.6047181850397028,0.084851262076603
409.55,376.24,376.3955846616775,-0.1555846616774943,-0.039498580939476724,0.08478092111123837
409.68,376.36,376.5152481844792,-0.15524818447920552,-0.03470857600043368,0.08477940053941274
409.65,376.33,376.4876335253711,-0.15763352537112496,-0.1714945408359547,0.08478587241405632
409.21,375.94,376.0826185251192,-0.1426185251191896,0.6886019112568669,0.08474813729860532
409.35,376.04,376.2114869342903,-0.17148693429027162,-0.9636206273391416,0.08482410012859852
409.45,376.13,376.3035357979839,-0.17353579798390228,-1.023590041024887,0.0848290435092543
409.21,375.91,376.0826185251192,-0.1726185251191623,-0.9175341066926376,0.08482779702465854
409.11,375.81,375.9905696614256,-0.1805696614255794,-1.2864604789548884,0.08484941140498396
409.06,375.72,375.94454522957875,-0.22454522957872314,-3.0324522877626947,0.08496648742322684
409.22,375.94,376.0918234114886,-0.15182341148857859,0.4392049314452077,0.08477253043965567
409.19,375.89,376.06420875238047,-0.17420875238047984,-0.6118254220777091,0.08483211901971777
409.26,376.02,376.128642956966,-0.10864295696603676,2.198210542464212,0.08465770171149146
409.41,376.12,376.26671625250646,-0.14671625250645093,0.5206153837147655,0.08475806143622783
409.36,376.06,376.2206918206596,-0.16069182065962195,-0.07813262729031402,0.0847953960938097
409.51,376.19,376.35876511620006,-0.1687651162000634,-0.471025988015902,0.08481608756522843
409.61,376.29,376.4508139798937,-0.16081397989370316,-0.11703024761481211,0.08479450311744494
409.86,376.51,376.68093613912777,-0.17093613912777528,-0.5514694852130962,0.0848201228429366
410.11,376.75,376.9110582983618,-0.16105829836180874,-0.11551888244690896,0.08479272043311394
410.05,376.69,376.85582898014565,-0.16582898014564762,-0.31452994945847523,0.08480565371024738
410.22,376.87,377.0123120484248,-0.14231204842479883,0.6794010940377484,0.08474253262015785
410.27,376.94,377.0583364802716,-0.11833648027158006,1.6476984662435235,0.08467880235261234
410.38,377.01,377.1595902303346,-0.14959023033458152,0.32218078427102204,0.08476104598737602
410.51,377.06,377.2792537531363,-0.21925375313628592,-2.3288117744913057,0.08494483030079863
410.44,377.04,377.21481954855074,-0.17481954855071535,-0.589894623625734,0.08482755117590282
410.59,377.23,377.3528928440912,-0.12289284409115453,1.303626003218224,0.0846893960549363
410.55,377.17,377.31607329861373,-0.14607329861371454,0.4495292605015855,0.0847509267252323
410.59,377.17,377.3528928440912,-0.1828928440911568,-0.8850309445237802,0.08484817710977953
410.84,377.43,377.5830150033252,-0.15301500332520845,0.34853219359020593,0.08476790947264254
410.9,377.49,377.63824432154144,-0.14824432154142642,0.5392868393409925,0.08475500703966303
410.76,377.35,377.50937591237033,-0.15937591237030801,0.05367563699639358,0.08478511882858984
410.94,377.52,377.6750638670189,-0.15506386701889596,0.23161925364424957,0.08477284833726509
410.86,377.43,377.601424776064,-0.17142477606398643,-0.4229839675363099,0.08481650154131096
410.78,377.39,377.52778568510905,-0.13778568510906553,0.9261679276731469,0.08472791402869936
410.93,377.51,377.66585898064955,-0.15585898064955472,0.21006193573109602,0.0847749987316727
411.4,377.94,378.0984886400095,-0.1584886400095229,0.08451360661506643,0.08477968936073171
411.13,377.7,377.84995670803676,-0.1499567080367683,0.40462027777469634,0.08475843971451393
410.58,377.2,377.34368795772184,-0.14368795772185194,0.6225162443653612,0.08474447180684962
410.8,377.4,377.54619545784783,-0.1461954578478526,0.47690462783350873,0.0847500634356763
410.97,377.57,377.702678526127,-0.1326785261269947,1.0517616295724077,0.08471352119106206
411.01,377.57,377.73949807160443,-0.16949807160443697,-0.6824963096483534,0.08481067234776433
411.44,378.01,378.135308185487,-0.12530818548702882,1.3217677750815198,0.08469187408955603
411.36,377.93,378.06166909453214,-0.13166909453212838,1.1282780540617692,0.08470904230384271
411.52,378.05,378.2089472764419,-0.15894727644189288,-0.2112796129175119,0.0847803234672036
410.92,377.48,377.65665409428016,-0.17665409428013845,-1.0492261299912233,0.08483003551496701
410.26,376.91,377.04913159390225,-0.13913159390222063,0.7400337177232803,0.08473392024594424
410.48,377.03,377.25163909402823,-0.2216390940282622,-2.7403803994631146,0.08495130220568639
410.87,377.35,377.6106296624333,-0.26062966243330266,-3.3279725303236387,0.08505239653903728
410.52,377.12,377.2884586395056,-0.1684586395056158,-0.29295177996893423,0.08481031943527494
410.29,376.93,377.07674625301036,-0.14674625301034894,0.3972635548521392,0.08475394425954628
409.83,376.51,376.65332148001966,-0.14332148001966516,0.510728718508883,0.0847470559808734
410.06,376.74,376.865033866515,-0.1250338665149684,1.1272341379151256,0.08469750889679714
409.72,376.42,376.5520677299567,-0.13206772995670235,0.8652585709560888,0.08471773475462388
409.63,376.33,376.4692237526324,-0.13922375263240383,0.583537493777308,0.08473713674996186
409.01,375.7,375.8985207977319,-0.19852079773193054,-1.4220017142959511,0.08489760548482879
409.14,375.85,376.01818432053363,-0.1681843205336122,-0.3471380349587335,0.08481636708747872
408.55,375.34,375.4750960247413,-0.13509602474130133,0.7835006646239445,0.08473127607189794
408.65,375.42,375.5671448884349,-0.14714488843486606,0.33091151265028257,0.08476284005254624
408.87,375.64,375.76965238856087,-0.1296523885608849,0.9006429316692869,0.08471529999617601
408.62,375.4,375.53953022932683,-0.13953022932685144,0.5488532493651591,0.08474273615469001
408.62,375.45,375.53953022932683,-0.08953022932684007,2.016758723279067,0.08460979249301726
408.75,375.47,375.65919375212854,-0.1891937521285172,-1.0791609548940544,0.0848741424600239
408.83,375.64,375.73283284308343,-0.09283284308344264,1.734168043253064,0.08461763993524289
408.8,375.5,375.7052181839753,-0.20521818397531888,-1.4537752255745147,0.08491648603850571
408.3,375.1,375.24497386550723,-0.14497386550721103,0.2457549704013623,0.0847587439366862
408.25,375.05,375.1989494336604,-0.14894943366039115,0.12401251916830627,0.08476956466232603
407.68,374.51,374.67427091060677,-0.16427091060677412,-0.29653096448186717,0.08481315281453358
407.63,374.44,374.62824647875993,-0.18824647875993605,-0.9205523199617421,0.08487731277251397
407.43,374.32,374.4441487513727,-0.1241487513727293,0.8392782005265287,0.08470738727214586
407.91,374.74,374.8859832971021,-0.14598329710207736,0.250095963323793,0.0847633041589472
408.3,375.05,375.24497386550723,-0.1949738655072224,-1.0669682133443241,0.0848918108125359
408.17,375.04,375.1253103427055,-0.08531034270549753,1.7971553244237841,0.08460055412979914
408.05,374.86,375.0148517062732,-0.15485170627317757,0.011250854618557328,0.08478624618410799
408.44,375.24,375.3738422746783,-0.1338422746782726,0.5357907373513477,0.08472846059616167
408.4,375.18,375.33702272920084,-0.1570227292008326,-0.08453656340297801,0.08479032134561876
408.17,374.94,375.1253103427055,-0.18531034270552027,-0.7777582149324118,0.08486674924340136
408.33,375.15,375.2725885246153,-0.12258852461530978,0.7983270698939515,0.08469903507428397
408.48,375.26,375.4106618201558,-0.15066182015578988,-0.07500366995986735,0.0847730114578815
408.55,375.33,375.4750960247413,-0.14509602474129224,0.08180259240460483,0.08475787110271987
408.52,375.31,375.44748136563317,-0.13748136563316393,0.32139998819766774,0.08473776201472254
