Date,Adj Close,Close,High,Low,Open,Volume
2021-10-11,206.0,206.0,223.8000030517578,200.0019989013672,216.0,1599
2021-10-12,234.0,234.0,256.3999938964844,193.0,196.1999969482422,24402
2021-10-13,246.1999969482422,246.1999969482422,302.06201171875,227.2220001220703,250.0,62965
2021-10-14,222.0,222.0,240.94200134277344,205.39999389648438,238.39999389648438,25038
2021-10-15,235.39999389648438,235.39999389648438,247.8000030517578,215.39999389648438,220.1999969482422,5884
2021-10-18,211.39999389648438,211.39999389648438,239.8000030517578,202.0,235.0,5933
2021-10-19,218.8000030517578,218.8000030517578,234.8000030517578,215.0,215.0,2781
2021-10-20,205.39999389648438,205.39999389648438,235.39999389648438,190.0,214.39999389648438,7191
2021-10-21,208.60000610351562,208.60000610351562,216.0,200.39999389648438,206.39999389648438,6334
2021-10-22,202.0,202.0,221.8000030517578,201.1999969482422,211.0,7489
2021-10-25,200.60000610351562,200.60000610351562,210.9980010986328,198.8000030517578,203.1999969482422,5251
2021-10-26,214.8000030517578,214.8000030517578,215.39999389648438,199.9219970703125,206.0,3051
2021-10-27,205.1999969482422,205.1999969482422,217.1999969482422,201.0,208.39999389648438,1587
2021-10-28,180.1999969482422,180.1999969482422,207.89999389648438,178.60000610351562,206.0,3912
2021-10-29,187.39999389648438,187.39999389648438,192.0,180.0,187.39999389648438,8447
2021-11-01,187.10000610351562,187.10000610351562,208.39999389648438,180.39999389648438,194.60000610351562,5863
2021-11-02,202.1999969482422,202.1999969482422,204.60000610351562,188.1999969482422,190.0,6660
2021-11-03,219.39999389648438,219.39999389648438,222.39999389648438,198.22799682617188,202.0,8411
2021-11-04,219.8000030517578,219.8000030517578,229.69000244140625,213.39999389648438,219.8000030517578,6118
2021-11-05,214.8000030517578,214.8000030517578,229.8000030517578,204.1999969482422,224.0,5059
2021-11-08,217.1999969482422,217.1999969482422,226.39999389648438,210.0,216.39999389648438,5606
2021-11-09,222.8000030517578,222.8000030517578,227.39999389648438,213.60000610351562,217.0,3015
2021-11-10,256.0,256.0,262.79998779296875,218.60000610351562,224.0,6579
2021-11-11,275.6000061035156,275.6000061035156,276.79998779296875,258.0,258.0,6176
2021-11-12,276.79998779296875,276.79998779296875,287.6000061035156,270.20001220703125,278.0,3165
2021-11-15,282.0,282.0,286.79998779296875,271.0,279.6000061035156,5534
2021-11-16,262.0,262.0,285.79998779296875,257.0,283.79998779296875,7132
2021-11-17,258.20001220703125,258.20001220703125,266.0,255.8000030517578,264.79998779296875,4041
2021-11-18,253.8000030517578,253.8000030517578,272.20001220703125,251.39999389648438,256.79998779296875,7881
2021-11-19,250.8000030517578,250.8000030517578,260.0,249.0,253.60000610351562,4688
2021-11-22,227.39999389648438,227.39999389648438,252.60000610351562,227.39999389648438,251.0,7938
2021-11-23,188.60000610351562,188.60000610351562,233.39999389648438,184.41200256347656,229.1999969482422,7824
2021-11-24,197.1999969482422,197.1999969482422,216.8000030517578,191.0,191.0,11225
2021-11-26,202.1999969482422,202.1999969482422,205.8000030517578,184.60000610351562,192.8000030517578,4788
2021-11-29,199.8000030517578,199.8000030517578,207.60000610351562,188.71600341796875,202.1999969482422,8735
2021-11-30,208.1999969482422,208.1999969482422,212.0,193.58599853515625,199.0,10848
2021-12-01,207.8000030517578,207.8000030517578,219.39999389648438,200.39999389648438,208.39999389648438,11578
2021-12-02,196.39999389648438,196.39999389648438,208.697998046875,190.39999389648438,202.8000030517578,6178
2021-12-03,198.0,198.0,206.39999389648438,186.8000030517578,198.0,6816
2021-12-06,196.39999389648438,196.39999389648438,204.1999969482422,187.39999389648438,198.8000030517578,7450
2021-12-07,200.60000610351562,200.60000610351562,207.39999389648438,197.0,197.0,14443
2021-12-08,220.60000610351562,220.60000610351562,231.39999389648438,200.0,201.8000030517578,9445
2021-12-09,213.0,213.0,234.74600219726562,212.39999389648438,219.0,7056
2021-12-10,222.39999389648438,222.39999389648438,229.8000030517578,212.1999969482422,213.0,24191
2021-12-13,217.0,217.0,227.60000610351562,215.6300048828125,218.8000030517578,7814
2021-12-14,204.60000610351562,204.60000610351562,228.39999389648438,202.60000610351562,217.0,8717
2021-12-15,202.1999969482422,202.1999969482422,214.89999389648438,202.0,204.60000610351562,10794
2021-12-16,202.60000610351562,202.60000610351562,224.1999969482422,198.1999969482422,203.1999969482422,13053
2021-12-17,243.39999389648438,243.39999389648438,252.0,199.8000030517578,199.8000030517578,154981
2021-12-20,242.60000610351562,242.60000610351562,249.1999969482422,235.0,235.0,3220
2021-12-21,269.0,269.0,273.0,242.8419952392578,249.1999969482422,4498
2021-12-22,259.6000061035156,259.6000061035156,272.73199462890625,250.0,268.6000061035156,4414
