Date,ValueAreaHigh,Poc,ValueAreaLow
2023-11-29,35.91,35.44,35.28
2023-11-30,35.91,35.64,35.12
2023-12-01,38.96,38.32,37.98
2023-12-04,38.98,38.69,38.6
2023-12-05,37.8,37.37,37.34
2023-12-06,38.12,37.16,37.09
2023-12-07,38.43,38.37,38.05
2023-12-08,39.07,38.91,38.69
2023-12-11,39.0,38.87,38.69
2023-12-12,38.3,38.12,37.96
2023-12-13,41.82,41.82,39.48
2023-12-14,45.75,45.66,44.5
2023-12-15,44.63,43.84,43.35
2023-12-18,43.44,43.05,43.05
2023-12-19,43.98,43.94,43.55
2023-12-20,43.62,42.53,42.46
2023-12-21,43.81,43.62,43.21
2023-12-22,44.24,44.03,43.87
2023-12-26,45.1,44.87,44.64
2023-12-27,44.69,44.55,44.41
2023-12-28,44.69,44.67,44.46
