Date,ValueAreaHigh,Poc,ValueAreaLow
2023-11-29,34.35,34.17,34.07
2023-11-30,33.72,33.66,33.39
2023-12-01,34.01,33.96,33.72
2023-12-04,34.37,34.32,33.98
2023-12-05,33.26,32.98,32.75
2023-12-06,33.05,32.73,32.65
2023-12-07,33.1,33.05,32.89
2023-12-08,33.21,32.89,32.89
2023-12-11,33.46,33.26,32.91
2023-12-12,33.23,33.16,33.0
2023-12-13,33.48,33.48,32.57
2023-12-14,35.85,35.84,35.34
2023-12-15,35.3,34.85,34.76
2023-12-18,34.79,34.75,34.62
2023-12-19,35.39,35.37,35.19
2023-12-20,36.03,35.89,35.37
2023-12-21,35.92,35.91,35.66
2023-12-22,36.19,36.1,35.92
2023-12-26,36.12,36.0,35.94
2023-12-27,36.0,35.85,35.78
2023-12-28,36.12,36.05,35.98
