Date,ValueAreaHigh,Poc,ValueAreaLow
2023-11-29,38.71,38.39,38.3
2023-11-30,38.44,38.41,38.23
2023-12-01,39.0,39.0,38.53
2023-12-04,38.78,38.76,38.63
2023-12-05,38.71,38.51,38.39
2023-12-06,39.43,39.42,39.0
2023-12-07,39.85,39.64,39.46
2023-12-08,39.21,39.21,39.09
2023-12-11,39.48,39.41,39.11
2023-12-12,39.46,39.44,39.33
2023-12-13,41.07,41.0,39.96
2023-12-14,40.89,39.69,37.96
2023-12-15,37.05,37.05,35.82
2023-12-18,35.13,34.44,34.39
2023-12-19,35.41,35.41,34.85
2023-12-20,35.37,34.82,34.82
2023-12-21,35.14,35.09,34.92
2023-12-22,35.51,35.28,35.22
2023-12-26,35.55,35.48,35.43
2023-12-27,35.42,35.28,35.1
2023-12-28,35.94,35.87,35.75
