Date,ValueAreaHigh,Poc,ValueAreaLow
2023-11-29,16.32,16.3,16.22
2023-11-30,16.57,16.57,16.47
2023-12-01,16.71,16.63,16.63
2023-12-04,16.68,16.65,16.61
2023-12-05,17.33,17.18,17.14
2023-12-06,17.09,17.0,16.91
2023-12-07,17.1,17.1,17.03
2023-12-08,17.02,16.94,16.9
2023-12-11,16.69,16.68,16.63
2023-12-12,16.48,16.41,16.37
2023-12-13,16.38,16.22,16.12
2023-12-14,16.71,16.63,16.62
2023-12-15,16.61,16.61,16.52
2023-12-18,16.52,16.46,16.43
2023-12-19,16.6,16.6,16.53
2023-12-20,16.58,16.55,16.5
2023-12-21,16.48,16.48,16.41
2023-12-22,16.66,16.56,16.53
2023-12-26,16.6,16.59,16.55
2023-12-27,16.58,16.56,16.53
2023-12-28,16.79,16.75,16.71
