Date,ValueAreaHigh,Poc,ValueAreaLow
2023-11-29,45.87,45.03,44.92
2023-11-30,44.8,44.73,44.26
2023-12-01,46.75,46.07,45.96
2023-12-04,47.37,46.25,45.95
2023-12-05,44.2,43.42,43.42
2023-12-06,44.16,43.41,43.32
2023-12-07,43.19,43.16,42.72
2023-12-08,44.16,43.21,42.98
2023-12-11,44.26,43.98,43.8
2023-12-12,43.44,43.44,43.26
2023-12-13,46.87,46.84,43.64
2023-12-14,50.11,48.66,48.37
2023-12-15,49.01,47.96,47.82
2023-12-18,47.52,47.28,47.21
2023-12-19,49.62,49.17,48.49
2023-12-20,48.07,46.37,46.37
2023-12-21,47.98,47.67,47.32
2023-12-22,47.32,46.82,46.59
2023-12-26,47.55,47.37,46.96
2023-12-27,47.46,46.96,46.8
2023-12-28,48.1,47.84,47.62
