Date,ValueAreaHigh,Poc,ValueAreaLow
2023-11-29,37.9,37.8,37.55
2023-11-30,38.21,38.14,38.1
2023-12-01,39.48,39.39,38.85
2023-12-04,39.56,39.48,39.33
2023-12-05,39.41,39.35,39.15
2023-12-06,40.07,39.09,39.09
2023-12-07,39.85,39.75,39.55
2023-12-08,40.54,40.44,40.3
2023-12-11,40.66,40.55,40.44
2023-12-12,40.55,40.46,40.32
2023-12-13,42.49,42.48,40.78
2023-12-14,45.24,45.05,44.8
2023-12-15,45.24,45.09,44.67
2023-12-18,44.44,44.37,44.05
2023-12-19,44.3,44.19,44.14
2023-12-20,43.59,42.46,42.26
2023-12-21,43.41,43.3,43.01
2023-12-22,43.6,43.5,43.25
2023-12-26,44.23,44.07,43.91
2023-12-27,44.05,43.94,43.84
2023-12-28,43.73,43.66,43.55
