Date,ValueAreaHigh,Poc,ValueAreaLow
2023-11-29,31.5,31.34,31.14
2023-11-30,31.76,31.75,31.59
2023-12-01,32.66,32.37,32.19
2023-12-04,33.03,32.75,32.75
2023-12-05,32.46,32.14,32.11
2023-12-06,32.46,32.21,32.18
2023-12-07,32.53,32.44,32.41
2023-12-08,32.07,31.89,31.79
2023-12-11,31.7,31.66,31.46
2023-12-12,31.97,31.93,31.81
2023-12-13,33.37,33.35,31.99
2023-12-14,34.8,34.37,34.26
2023-12-15,34.57,34.51,34.41
2023-12-18,34.07,34.07,33.76
2023-12-19,34.8,34.66,34.62
2023-12-20,34.8,34.69,34.38
2023-12-21,35.21,35.21,34.9
2023-12-22,35.25,35.22,35.12
2023-12-26,35.57,35.55,35.5
2023-12-27,35.78,35.64,35.62
2023-12-28,35.7,35.6,35.53
