Date,ValueAreaHigh,Poc,ValueAreaLow
2023-11-29,28.04,27.89,27.86
2023-11-30,28.32,28.25,28.15
2023-12-01,28.8,28.8,28.43
2023-12-04,28.99,28.86,28.71
2023-12-05,28.6,28.55,28.49
2023-12-06,28.8,28.8,28.61
2023-12-07,29.11,28.93,28.86
2023-12-08,28.88,28.77,28.71
2023-12-11,29.05,29.05,28.82
2023-12-12,29.0,28.95,28.93
2023-12-13,30.2,30.2,29.33
2023-12-14,30.19,29.71,29.66
2023-12-15,29.4,29.37,28.87
2023-12-18,28.91,28.81,28.77
2023-12-19,28.95,28.88,28.86
2023-12-20,28.8,28.31,28.31
2023-12-21,28.44,28.3,28.25
2023-12-22,28.64,28.55,28.41
2023-12-26,28.6,28.56,28.52
2023-12-27,28.41,28.38,28.3
2023-12-28,28.61,28.57,28.49
