Date,ValueAreaHigh,Poc,ValueAreaLow
2023-11-29,33.78,33.75,33.28
2023-11-30,34.11,33.75,33.53
2023-12-01,34.06,33.8,33.64
2023-12-04,33.82,33.75,33.5
2023-12-05,33.05,32.8,32.69
2023-12-06,32.05,31.82,31.68
2023-12-07,31.73,31.72,31.52
2023-12-08,32.25,32.25,32.05
2023-12-11,32.69,32.55,32.5
2023-12-12,32.35,32.3,32.01
2023-12-13,32.78,32.57,32.37
2023-12-14,33.78,33.55,33.37
2023-12-15,33.25,33.07,33.02
2023-12-18,34.37,34.07,33.98
2023-12-19,34.19,34.09,34.01
2023-12-20,34.5,34.12,34.03
2023-12-21,34.09,34.01,33.87
2023-12-22,34.39,34.35,34.12
2023-12-26,34.87,34.78,34.68
2023-12-27,34.72,34.51,34.45
2023-12-28,34.23,34.19,34.16
