Date,ValueAreaHigh,Poc,ValueAreaLow
2023-11-29,39.9,39.59,39.44
2023-11-30,39.11,38.85,38.71
2023-12-01,40.16,40.16,39.96
2023-12-04,40.07,39.98,39.14
2023-12-05,39.09,38.91,38.8
2023-12-06,38.59,37.96,37.96
2023-12-07,37.82,37.66,37.46
2023-12-08,37.33,37.21,37.21
2023-12-11,37.98,37.94,37.64
2023-12-12,37.39,37.32,37.07
2023-12-13,39.66,39.66,38.07
2023-12-14,42.34,41.37,41.04
2023-12-15,41.51,41.44,41.21
2023-12-18,42.03,41.89,41.85
2023-12-19,44.85,44.64,43.64
2023-12-20,44.07,42.87,42.87
2023-12-21,44.35,43.91,43.63
2023-12-22,44.71,44.09,44.0
2023-12-26,45.26,45.26,44.84
2023-12-27,45.57,45.48,45.2
2023-12-28,45.71,45.53,45.46
