Date,ValueAreaHigh,Poc,ValueAreaLow
2023-11-29,37.55,37.55,37.48
2023-11-30,37.87,37.82,37.64
2023-12-01,39.85,39.73,39.4
2023-12-04,33.83,32.73,32.73
2023-12-05,35.86,35.57,35.16
2023-12-06,36.73,35.66,35.66
2023-12-07,36.19,35.98,35.39
2023-12-08,35.76,35.6,35.53
2023-12-11,35.8,35.75,35.5
2023-12-12,37.64,37.32,36.78
2023-12-13,38.64,38.64,37.07
2023-12-14,39.23,39.0,38.71
2023-12-15,38.91,38.91,38.67
2023-12-18,39.48,39.25,38.89
2023-12-19,40.53,40.21,40.0
2023-12-20,40.85,40.09,39.98
2023-12-21,40.71,40.66,40.48
2023-12-22,40.82,40.69,40.53
2023-12-26,40.95,40.16,40.16
2023-12-27,39.87,39.66,39.66
2023-12-28,39.94,39.94,39.69
