Date,ValueAreaHigh,Poc,ValueAreaLow
2023-11-29,39.69,39.44,39.35
2023-11-30,39.51,39.44,39.32
2023-12-01,40.85,40.85,40.41
2023-12-04,40.92,40.35,40.21
2023-12-05,39.52,39.14,39.12
2023-12-06,39.9,39.37,39.34
2023-12-07,39.89,39.82,39.58
2023-12-08,41.42,41.42,40.73
2023-12-11,43.62,43.53,42.92
2023-12-12,43.52,43.37,43.34
2023-12-13,43.89,43.75,42.89
2023-12-14,45.05,44.66,44.48
2023-12-15,43.75,43.09,43.09
2023-12-18,43.75,43.55,43.32
2023-12-19,45.3,45.03,44.46
2023-12-20,44.79,43.5,43.5
2023-12-21,44.66,44.5,44.16
2023-12-22,44.61,44.39,44.3
2023-12-26,44.66,44.64,44.44
2023-12-27,44.78,44.71,44.35
2023-12-28,45.12,45.07,44.94
