Date,ValueAreaHigh,Poc,ValueAreaLow
2023-11-29,36.89,36.66,36.63
2023-11-30,37.19,36.94,36.61
2023-12-01,38.11,38.0,37.77
2023-12-04,38.38,38.14,38.04
2023-12-05,37.77,37.62,37.59
2023-12-06,39.33,38.63,38.5
2023-12-07,40.47,40.35,40.16
2023-12-08,40.55,40.35,40.34
2023-12-11,40.51,40.5,40.37
2023-12-12,41.28,41.25,40.73
2023-12-13,41.34,40.94,40.44
2023-12-14,42.37,42.32,41.94
2023-12-15,42.48,42.42,42.25
2023-12-18,41.41,41.39,41.17
2023-12-19,41.48,41.14,41.07
2023-12-20,41.16,40.35,40.32
2023-12-21,41.44,41.12,41.01
2023-12-22,41.16,41.14,41.01
2023-12-26,40.98,40.94,40.78
2023-12-27,40.6,40.6,40.46
2023-12-28,40.62,40.6,40.51
