Date,ValueAreaHigh,Poc,ValueAreaLow
2023-11-29,14.36,14.28,13.97
2023-11-30,14.4,14.28,14.23
2023-12-01,14.86,14.86,14.69
2023-12-04,15.04,15.04,14.93
2023-12-05,15.07,15.02,14.89
2023-12-06,15.07,15.0,14.95
2023-12-07,15.17,15.12,14.97
2023-12-08,15.2,15.16,15.12
2023-12-11,15.25,15.23,15.19
2023-12-12,15.54,15.5,15.41
2023-12-13,16.38,16.35,15.58
2023-12-14,17.65,17.6,17.44
2023-12-15,17.6,17.6,17.44
2023-12-18,17.56,17.39,17.35
2023-12-19,17.66,17.61,17.37
2023-12-20,17.53,17.08,17.08
2023-12-21,17.46,17.46,17.29
2023-12-22,17.73,17.71,17.68
2023-12-26,18.0,17.96,17.86
2023-12-27,18.07,18.05,17.98
2023-12-28,18.1,18.08,18.07
