Date,ValueAreaHigh,Poc,ValueAreaLow
2023-11-29,17.38,17.31,17.2
2023-11-30,17.39,17.32,17.25
2023-12-01,18.22,18.21,17.88
2023-12-04,18.48,18.41,18.38
2023-12-05,18.41,18.38,18.36
2023-12-06,18.61,18.4,18.36
2023-12-07,18.78,18.78,18.54
2023-12-08,18.77,18.74,18.63
2023-12-11,18.8,18.71,18.68
2023-12-12,18.45,18.35,18.33
2023-12-13,19.26,19.23,18.31
2023-12-14,20.25,20.12,20.1
2023-12-15,19.81,19.54,19.4
2023-12-18,19.58,19.53,19.46
2023-12-19,19.87,19.83,19.6
2023-12-20,19.93,19.6,19.46
2023-12-21,19.46,19.29,19.18
2023-12-22,19.75,19.7,19.67
2023-12-26,19.99,19.98,19.78
2023-12-27,20.08,20.04,19.99
2023-12-28,20.12,20.02,20.02
