Date,ValueAreaHigh,Poc,ValueAreaLow
2023-11-29,40.22,40.19,40.09
2023-11-30,40.75,40.75,40.43
2023-12-01,40.94,40.91,40.73
2023-12-04,41.12,40.98,40.94
2023-12-05,41.0,41.0,40.89
2023-12-06,41.51,41.35,41.3
2023-12-07,41.32,41.3,41.05
2023-12-08,41.55,41.5,41.42
2023-12-11,41.71,41.62,41.57
2023-12-12,42.05,42.03,41.82
2023-12-13,43.49,43.48,42.64
2023-12-14,42.86,42.75,42.51
2023-12-15,42.71,42.42,42.08
2023-12-18,42.84,42.64,42.56
2023-12-19,42.56,42.52,42.46
2023-12-20,42.87,42.35,42.35
2023-12-21,42.8,42.8,42.59
2023-12-22,43.05,43.0,42.94
2023-12-26,43.41,43.28,43.21
2023-12-27,43.7,43.66,43.44
2023-12-28,43.76,43.76,43.64
