Date,ValueAreaHigh,Poc,ValueAreaLow
2023-11-29,12.55,12.4,12.35
2023-11-30,12.4,12.4,12.16
2023-12-01,12.97,12.81,12.62
2023-12-04,13.38,13.31,13.12
2023-12-05,13.15,13.09,13.07
2023-12-06,13.7,13.65,13.56
2023-12-07,14.0,14.0,13.89
2023-12-08,13.87,13.78,13.74
2023-12-11,13.71,13.69,13.66
2023-12-12,14.17,14.11,13.99
2023-12-13,13.98,13.7,13.66
2023-12-14,14.65,14.62,14.48
2023-12-15,14.53,14.48,14.47
2023-12-18,14.27,14.23,14.17
2023-12-19,14.38,14.36,14.31
2023-12-20,14.39,14.34,14.07
2023-12-21,14.34,14.32,14.28
2023-12-22,14.33,14.32,14.28
2023-12-26,14.16,14.12,14.11
2023-12-27,14.04,13.98,13.97
2023-12-28,14.0,14.0,13.94
