Date,ValueAreaHigh,Poc,ValueAreaLow
2023-11-29,32.26,32.07,31.75
2023-11-30,32.82,32.62,32.49
2023-12-01,33.89,33.89,33.59
2023-12-04,36.92,36.92,35.89
2023-12-05,35.51,35.25,35.19
2023-12-06,37.12,36.98,36.84
2023-12-07,37.01,37.0,36.89
2023-12-08,37.57,37.5,37.41
2023-12-11,38.87,38.8,37.96
2023-12-12,39.15,38.8,38.76
2023-12-13,40.26,40.16,38.39
2023-12-14,41.91,41.71,41.17
2023-12-15,41.42,41.24,40.95
2023-12-18,41.75,41.46,41.28
2023-12-19,42.66,42.48,42.29
2023-12-20,42.96,42.12,42.0
2023-12-21,43.71,43.71,43.19
2023-12-22,43.32,43.07,42.85
2023-12-26,42.69,42.5,42.43
2023-12-27,42.8,42.73,42.4
2023-12-28,43.23,43.14,42.98
