Date,ValueAreaHigh,Poc,ValueAreaLow
2023-11-29,16.56,16.48,16.44
2023-11-30,16.8,16.7,16.69
2023-12-01,17.63,17.57,17.34
2023-12-04,17.7,17.65,17.55
2023-12-05,17.14,17.05,17.0
2023-12-06,17.58,17.38,17.3
2023-12-07,17.27,17.25,17.14
2023-12-08,17.52,17.46,17.38
2023-12-11,17.57,17.55,17.47
2023-12-12,17.33,17.28,17.25
2023-12-13,18.13,18.11,17.46
2023-12-14,19.77,19.62,19.44
2023-12-15,19.65,19.5,19.35
2023-12-18,19.22,19.13,19.12
2023-12-19,19.43,19.36,19.36
2023-12-20,19.56,19.54,19.23
2023-12-21,19.17,19.13,19.0
2023-12-22,19.3,19.24,19.22
2023-12-26,19.62,19.57,19.43
2023-12-27,19.57,19.55,19.5
2023-12-28,19.58,19.55,19.55
