Date,ValueAreaHigh,Poc,ValueAreaLow
2023-11-29,36.56,36.42,36.36
2023-11-30,36.34,35.9,35.82
2023-12-01,36.95,36.91,36.42
2023-12-04,36.46,36.1,36.09
2023-12-05,35.36,35.16,35.16
2023-12-06,35.41,35.07,34.98
2023-12-07,36.25,35.91,35.86
2023-12-08,36.03,35.69,35.56
2023-12-11,35.94,35.91,35.63
2023-12-12,35.07,34.78,34.71
2023-12-13,36.5,36.47,35.14
2023-12-14,37.71,37.1,37.07
2023-12-15,37.14,37.14,36.48
2023-12-18,37.37,37.01,37.0
2023-12-19,38.28,38.14,37.77
2023-12-20,36.84,35.98,35.98
2023-12-21,36.46,36.35,36.03
2023-12-22,36.39,36.23,36.07
2023-12-26,36.53,36.42,36.25
2023-12-27,36.6,36.5,36.47
2023-12-28,36.39,36.13,36.12
