Date,ValueAreaHigh,Poc,ValueAreaLow
2023-11-29,31.83,31.7,31.69
2023-11-30,31.81,31.56,31.39
2023-12-01,32.16,32.16,31.89
2023-12-04,32.26,32.23,32.23
2023-12-05,32.1,32.03,32.0
2023-12-06,32.23,32.07,31.99
2023-12-07,32.41,32.17,32.12
2023-12-08,32.19,32.12,32.1
2023-12-11,32.78,32.75,32.66
2023-12-12,32.73,32.66,32.62
2023-12-13,33.3,33.23,32.87
2023-12-14,32.73,32.21,32.19
2023-12-15,32.47,32.41,32.01
2023-12-18,32.53,32.46,31.85
2023-12-19,32.55,32.5,32.45
2023-12-20,32.62,32.48,32.35
2023-12-21,32.48,32.39,32.34
2023-12-22,32.84,32.75,32.73
2023-12-26,33.11,33.05,32.89
2023-12-27,33.14,33.14,33.04
2023-12-28,33.3,33.21,33.14
