Date,ValueAreaHigh,Poc,ValueAreaLow
2023-11-29,31.75,31.71,31.58
2023-11-30,31.45,31.36,31.23
2023-12-01,31.93,31.74,31.69
2023-12-04,31.53,31.41,31.34
2023-12-05,31.33,31.3,31.22
2023-12-06,31.38,31.24,31.24
2023-12-07,31.0,30.95,30.86
2023-12-08,30.85,30.8,30.66
2023-12-11,31.21,31.08,30.95
2023-12-12,30.81,30.68,30.65
2023-12-13,32.17,32.05,30.95
2023-12-14,34.07,33.94,33.46
2023-12-15,33.95,33.95,33.33
2023-12-18,33.59,33.57,33.48
2023-12-19,34.49,34.44,34.35
2023-12-20,34.69,34.1,34.1
2023-12-21,34.32,34.1,34.04
2023-12-22,34.45,34.37,34.33
2023-12-26,34.7,34.64,34.57
2023-12-27,34.92,34.8,34.74
2023-12-28,35.12,35.1,34.94
