Date,ValueAreaHigh,Poc,ValueAreaLow
2023-11-29,16.38,16.27,16.16
2023-11-30,16.04,16.03,15.94
2023-12-01,16.38,16.27,15.95
2023-12-04,16.6,16.55,16.52
2023-12-05,16.31,16.21,16.15
2023-12-06,16.43,16.25,16.21
2023-12-07,16.43,16.39,16.24
2023-12-08,16.23,16.19,16.03
2023-12-11,16.1,16.05,16.01
2023-12-12,15.94,15.86,15.78
2023-12-13,16.31,16.28,15.85
2023-12-14,16.54,16.38,16.37
2023-12-15,16.07,16.02,16.01
2023-12-18,15.91,15.82,15.75
2023-12-19,16.19,16.12,15.91
2023-12-20,16.86,16.48,16.48
2023-12-21,16.98,16.94,16.82
2023-12-22,17.2,17.19,17.11
2023-12-26,17.56,17.54,17.36
2023-12-27,17.49,17.49,17.45
2023-12-28,17.67,17.63,17.6
