Date,ValueAreaHigh,Poc,ValueAreaLow
2023-11-29,33.32,32.96,32.96
2023-11-30,33.35,33.35,33.08
2023-12-01,34.05,33.96,33.82
2023-12-04,33.72,33.66,33.46
2023-12-05,33.28,33.28,33.09
2023-12-06,33.16,32.96,32.96
2023-12-07,32.84,32.75,32.6
2023-12-08,33.09,33.09,32.72
2023-12-11,33.32,33.28,33.23
2023-12-12,33.64,33.55,33.44
2023-12-13,34.96,34.85,34.01
2023-12-14,35.42,35.3,35.17
2023-12-15,34.94,34.94,34.13
2023-12-18,34.46,34.39,34.37
2023-12-19,34.6,34.55,34.42
2023-12-20,34.8,34.74,34.25
2023-12-21,34.23,33.87,33.82
2023-12-22,34.44,34.23,34.17
2023-12-26,34.36,34.3,34.16
2023-12-27,34.42,34.42,34.27
2023-12-28,34.71,34.71,34.48
