Date,ValueAreaHigh,Poc,ValueAreaLow
2023-11-29,25.93,25.81,25.78
2023-11-30,25.7,25.64,25.64
2023-12-01,26.21,26.21,25.8
2023-12-04,26.55,26.44,26.43
2023-12-05,26.21,26.14,26.12
2023-12-06,26.43,26.43,26.31
2023-12-07,26.63,26.43,26.41
2023-12-08,26.3,26.19,26.13
2023-12-11,26.38,26.35,26.3
2023-12-12,26.27,26.22,26.18
2023-12-13,27.11,27.04,26.43
2023-12-14,27.02,26.69,26.61
2023-12-15,26.58,26.49,26.44
2023-12-18,26.5,26.49,26.43
2023-12-19,26.56,26.55,26.46
2023-12-20,26.54,26.5,26.1
2023-12-21,26.07,26.05,25.92
2023-12-22,26.44,26.38,26.29
2023-12-26,26.48,26.44,26.39
2023-12-27,26.35,26.29,26.24
2023-12-28,26.57,26.55,26.46
