Date,ValueAreaHigh,Poc,ValueAreaLow
2023-11-29,36.55,36.3,36.23
2023-11-30,37.07,35.98,35.88
2023-12-01,36.57,36.2,36.19
2023-12-04,35.94,35.85,35.75
2023-12-05,35.29,34.8,34.8
2023-12-06,34.71,34.07,34.05
2023-12-07,33.88,33.82,33.63
2023-12-08,34.51,34.48,34.19
2023-12-11,34.75,34.66,34.52
2023-12-12,34.26,34.19,33.85
2023-12-13,34.87,34.87,34.01
2023-12-14,35.87,35.76,35.58
2023-12-15,35.39,35.37,35.19
2023-12-18,35.9,35.72,35.64
2023-12-19,36.16,36.0,35.77
2023-12-20,36.19,36.17,35.64
2023-12-21,35.96,35.96,35.64
2023-12-22,36.22,35.98,35.89
2023-12-26,37.36,37.3,36.91
2023-12-27,37.76,37.67,37.25
2023-12-28,36.71,36.11,36.11
