Date,ValueAreaHigh,Poc,ValueAreaLow
2023-11-29,28.12,28.05,27.95
2023-11-30,28.46,28.46,28.22
2023-12-01,28.58,28.58,28.27
2023-12-04,28.99,28.9,28.71
2023-12-05,28.76,28.76,28.67
2023-12-06,28.99,28.91,28.82
2023-12-07,28.97,28.86,28.79
2023-12-08,29.08,28.99,28.84
2023-12-11,29.43,29.38,29.26
2023-12-12,29.45,29.36,29.28
2023-12-13,29.37,29.36,28.96
2023-12-14,29.6,29.6,29.49
2023-12-15,29.36,29.3,29.27
2023-12-18,29.33,29.31,29.08
2023-12-19,29.46,29.46,29.41
2023-12-20,29.39,29.05,29.05
2023-12-21,29.28,29.21,29.11
2023-12-22,29.63,29.46,29.46
2023-12-26,29.6,29.59,29.53
2023-12-27,29.53,29.45,29.38
2023-12-28,29.52,29.52,29.45
