Date,ValueAreaHigh,Poc,ValueAreaLow
2023-11-29,26.2,26.11,26.08
2023-11-30,26.43,26.25,26.18
2023-12-01,26.4,26.15,26.11
2023-12-04,25.91,25.81,25.79
2023-12-05,25.63,25.35,25.35
2023-12-06,24.89,24.78,24.76
2023-12-07,24.68,24.58,24.49
2023-12-08,24.76,24.68,24.63
2023-12-11,24.87,24.85,24.75
2023-12-12,24.58,24.43,24.41
2023-12-13,24.68,24.66,24.36
2023-12-14,25.57,25.57,25.35
2023-12-15,25.3,25.2,25.06
2023-12-18,25.69,25.52,25.52
2023-12-19,25.66,25.64,25.38
2023-12-20,25.63,25.23,25.23
2023-12-21,25.73,25.73,25.43
2023-12-22,25.87,25.79,25.7
2023-12-26,26.02,25.91,25.89
2023-12-27,25.91,25.83,25.74
2023-12-28,25.84,25.65,25.65
