Date,ValueAreaHigh,Poc,ValueAreaLow
2023-11-29,19.19,19.11,19.04
2023-11-30,19.33,19.32,19.23
2023-12-01,20.06,20.06,19.8
2023-12-04,20.56,20.56,20.22
2023-12-05,20.57,20.55,20.46
2023-12-06,20.49,20.36,20.2
2023-12-07,20.17,20.14,20.08
2023-12-08,20.24,20.24,20.02
2023-12-11,20.43,20.36,20.27
2023-12-12,20.32,20.28,20.19
2023-12-13,21.56,21.46,20.77
2023-12-14,22.58,22.58,22.36
2023-12-15,22.38,22.38,22.26
2023-12-18,22.1,21.9,21.9
2023-12-19,22.2,22.11,21.96
2023-12-20,22.22,21.74,21.74
2023-12-21,21.9,21.86,21.75
2023-12-22,21.91,21.77,21.72
2023-12-26,21.88,21.86,21.78
2023-12-27,21.81,21.79,21.72
2023-12-28,21.81,21.74,21.68
