Date,ValueAreaHigh,Poc,ValueAreaLow
2023-11-29,31.48,31.23,31.21
2023-11-30,32.46,32.35,32.05
2023-12-01,34.12,33.82,33.64
2023-12-04,34.41,33.96,33.89
2023-12-05,34.17,33.98,33.94
2023-12-06,34.64,34.3,34.3
2023-12-07,34.94,34.91,34.78
2023-12-08,35.41,35.3,35.1
2023-12-11,35.61,35.57,35.23
2023-12-12,35.85,35.6,35.51
2023-12-13,37.01,36.84,36.12
2023-12-14,37.82,37.73,37.6
2023-12-15,37.52,37.52,36.98
2023-12-18,37.71,37.55,37.53
2023-12-19,38.37,38.23,38.11
2023-12-20,38.35,37.34,37.34
2023-12-21,38.05,38.05,37.89
2023-12-22,38.26,37.95,37.89
2023-12-26,38.32,38.28,38.14
2023-12-27,38.4,38.35,38.25
2023-12-28,38.46,38.39,38.32
