Date,ValueAreaHigh,Poc,ValueAreaLow
2023-11-29,15.08,14.93,14.83
2023-11-30,15.28,15.23,14.99
2023-12-01,16.44,16.44,15.82
2023-12-04,17.53,17.52,17.14
2023-12-05,17.75,17.6,17.54
2023-12-06,18.45,18.13,18.06
2023-12-07,18.75,18.71,18.3
2023-12-08,18.78,18.68,18.6
2023-12-11,18.44,18.43,18.28
2023-12-12,18.5,18.45,18.33
2023-12-13,19.22,19.22,18.4
2023-12-14,20.41,20.16,19.7
2023-12-15,20.35,20.21,20.14
2023-12-18,20.52,20.5,20.32
2023-12-19,20.88,20.71,20.69
2023-12-20,20.37,19.88,19.88
2023-12-21,21.09,20.95,20.73
2023-12-22,21.01,20.96,20.88
2023-12-26,20.48,20.36,20.36
2023-12-27,20.41,20.38,20.28
2023-12-28,20.6,20.49,20.38
