Date,ValueAreaHigh,Poc,ValueAreaLow
2023-11-29,30.8,30.64,30.43
2023-11-30,30.74,30.74,30.56
2023-12-01,31.33,31.31,31.05
2023-12-04,31.63,31.46,31.3
2023-12-05,30.96,30.82,30.7
2023-12-06,31.35,31.15,31.04
2023-12-07,30.91,30.81,30.73
2023-12-08,31.14,30.95,30.74
2023-12-11,31.77,31.55,31.47
2023-12-12,31.48,31.33,31.22
2023-12-13,31.54,31.52,31.13
2023-12-14,32.75,32.75,32.39
2023-12-15,33.28,32.89,32.68
2023-12-18,32.84,32.78,32.53
2023-12-19,33.1,32.96,32.92
2023-12-20,33.01,32.51,32.5
2023-12-21,32.98,32.98,32.64
2023-12-22,32.96,32.85,32.71
2023-12-26,33.16,33.03,32.82
2023-12-27,33.06,32.87,32.87
2023-12-28,32.93,32.91,32.8
