Date,ValueAreaHigh,Poc,ValueAreaLow
2023-11-29,11.22,11.14,11.02
2023-11-30,11.32,11.28,11.27
2023-12-01,11.73,11.67,11.6
2023-12-04,11.78,11.78,11.73
2023-12-05,11.7,11.69,11.65
2023-12-06,11.87,11.86,11.75
2023-12-07,11.86,11.86,11.81
2023-12-08,12.03,12.0,11.97
2023-12-11,12.04,12.03,11.98
2023-12-12,11.92,11.9,11.87
2023-12-13,12.34,12.34,11.87
2023-12-14,13.24,13.2,12.94
2023-12-15,12.96,12.87,12.81
2023-12-18,12.81,12.78,12.72
2023-12-19,12.79,12.78,12.75
2023-12-20,12.86,12.83,12.58
2023-12-21,12.69,12.61,12.56
2023-12-22,12.71,12.65,12.65
2023-12-26,12.87,12.83,12.75
2023-12-27,12.81,12.78,12.76
2023-12-28,12.82,12.82,12.79
