Date,ValueAreaHigh,Poc,ValueAreaLow
2023-11-29,10.86,10.86,10.64
2023-11-30,10.38,10.23,10.2
2023-12-01,10.54,10.44,10.26
2023-12-04,10.77,10.69,10.69
2023-12-05,10.64,10.62,10.59
2023-12-06,10.8,10.78,10.69
2023-12-07,10.85,10.82,10.8
2023-12-08,11.06,11.02,11.0
2023-12-11,11.15,11.14,11.08
2023-12-12,11.18,11.16,11.15
2023-12-13,11.29,11.0,10.97
2023-12-14,12.11,12.1,11.83
2023-12-15,12.04,11.98,11.96
2023-12-18,11.99,11.98,11.93
2023-12-19,12.03,12.02,12.0
2023-12-20,12.06,11.83,11.8
2023-12-21,12.33,12.33,12.06
2023-12-22,12.37,12.36,12.33
2023-12-26,12.47,12.44,12.43
2023-12-27,12.41,12.37,12.32
2023-12-28,12.36,12.35,12.32
