Date,ValueAreaHigh,Poc,ValueAreaLow
2023-11-29,15.02,14.91,14.82
2023-11-30,15.17,15.11,14.98
2023-12-01,15.75,15.75,15.4
2023-12-04,16.3,16.3,16.02
2023-12-05,16.6,16.49,16.36
2023-12-06,17.49,17.07,16.96
2023-12-07,18.0,17.9,17.81
2023-12-08,18.05,18.0,17.89
2023-12-11,17.72,17.61,17.52
2023-12-12,17.95,17.95,17.73
2023-12-13,18.29,18.27,17.84
2023-12-14,19.02,18.79,18.71
2023-12-15,18.82,18.72,18.62
2023-12-18,18.5,18.4,18.35
2023-12-19,18.75,18.72,18.43
2023-12-20,18.69,18.68,18.29
2023-12-21,19.23,19.18,18.66
2023-12-22,19.69,19.5,18.95
2023-12-26,18.61,18.56,18.46
2023-12-27,18.56,18.54,18.36
2023-12-28,18.7,18.63,18.6
