Date,ValueAreaHigh,Poc,ValueAreaLow
2023-11-29,32.48,32.39,32.14
2023-11-30,32.28,32.12,32.05
2023-12-01,33.37,33.28,32.82
2023-12-04,33.59,33.28,33.25
2023-12-05,33.3,33.19,33.11
2023-12-06,33.9,33.07,33.07
2023-12-07,34.0,33.8,33.69
2023-12-08,34.42,34.32,34.03
2023-12-11,34.53,34.5,34.28
2023-12-12,34.23,34.1,34.02
2023-12-13,35.55,35.51,34.07
2023-12-14,37.64,36.96,36.91
2023-12-15,37.66,37.66,36.75
2023-12-18,36.82,36.35,36.35
2023-12-19,36.78,36.73,36.66
2023-12-20,36.57,36.4,35.8
2023-12-21,36.5,36.5,36.24
2023-12-22,36.85,36.75,36.72
2023-12-26,37.23,37.1,36.91
2023-12-27,37.26,37.21,37.1
2023-12-28,37.32,37.3,37.22
