Date,ValueAreaHigh,Poc,ValueAreaLow
2023-11-29,10.83,10.78,10.66
2023-11-30,10.61,10.44,10.41
2023-12-01,11.5,11.33,10.86
2023-12-04,11.41,11.39,11.28
2023-12-05,10.97,10.86,10.79
2023-12-06,11.08,10.92,10.9
2023-12-07,10.92,10.82,10.75
2023-12-08,11.64,11.54,11.47
2023-12-11,11.52,11.43,11.16
2023-12-12,11.25,11.23,11.19
2023-12-13,11.87,11.87,11.19
2023-12-14,12.57,12.5,12.44
2023-12-15,12.61,12.61,12.31
2023-12-18,12.16,12.11,11.97
2023-12-19,12.37,12.36,12.18
2023-12-20,12.31,11.66,11.66
2023-12-21,11.33,11.22,10.98
2023-12-22,11.37,11.32,11.25
2023-12-26,11.55,11.5,11.3
2023-12-27,11.54,11.53,11.43
2023-12-28,11.67,11.57,11.55
