Date,ValueAreaHigh,Poc,ValueAreaLow
2023-11-29,28.12,28.04,27.98
2023-11-30,28.3,28.3,28.08
2023-12-01,28.37,28.36,28.29
2023-12-04,29.06,28.96,28.79
2023-12-05,28.88,28.77,28.77
2023-12-06,29.43,29.4,29.33
2023-12-07,29.92,29.79,29.72
2023-12-08,29.64,29.54,29.48
2023-12-11,29.52,29.47,29.38
2023-12-12,29.66,29.63,29.54
2023-12-13,30.52,30.45,29.88
2023-12-14,30.52,29.93,29.87
2023-12-15,29.68,29.35,29.26
2023-12-18,29.55,29.46,29.41
2023-12-19,29.41,29.38,29.35
2023-12-20,28.76,28.37,28.37
2023-12-21,28.53,28.48,28.34
2023-12-22,28.73,28.68,28.6
2023-12-26,28.66,28.63,28.55
2023-12-27,28.47,28.46,28.41
2023-12-28,28.61,28.55,28.52
