Date,ValueAreaHigh,Poc,ValueAreaLow
2023-11-29,34.1,34.07,33.46
2023-11-30,33.41,33.28,33.25
2023-12-01,34.46,34.41,34.16
2023-12-04,34.63,34.62,34.41
2023-12-05,34.58,34.53,34.48
2023-12-06,35.07,34.91,34.82
2023-12-07,35.19,34.98,34.83
2023-12-08,35.37,35.37,35.05
2023-12-11,35.0,34.85,34.79
2023-12-12,35.51,35.46,35.31
2023-12-13,37.28,37.12,36.01
2023-12-14,38.53,38.35,38.25
2023-12-15,38.07,37.62,37.51
2023-12-18,37.82,37.78,37.6
2023-12-19,37.94,37.71,37.64
2023-12-20,37.71,37.6,37.35
2023-12-21,37.39,37.26,37.07
2023-12-22,37.86,37.78,37.71
2023-12-26,38.12,38.1,37.9
2023-12-27,38.37,38.35,38.22
2023-12-28,38.69,38.5,38.37
