Date,ValueAreaHigh,Poc,ValueAreaLow
2023-11-29,44.87,44.87,44.41
2023-11-30,44.55,44.53,44.34
2023-12-01,45.5,45.5,45.19
2023-12-04,45.77,45.71,45.64
2023-12-05,44.76,44.66,44.6
2023-12-06,45.71,45.64,45.44
2023-12-07,45.24,45.19,45.12
2023-12-08,45.48,45.39,45.35
2023-12-11,45.91,45.75,45.6
2023-12-12,45.57,45.46,45.4
2023-12-13,46.03,45.91,45.64
2023-12-14,46.98,46.67,46.48
2023-12-15,46.69,46.5,46.46
2023-12-18,47.14,47.14,46.84
2023-12-19,47.82,47.75,47.59
2023-12-20,48.0,47.62,47.44
2023-12-21,47.44,47.44,47.05
2023-12-22,47.91,47.8,47.73
2023-12-26,47.94,47.85,47.82
2023-12-27,48.1,48.1,47.85
2023-12-28,47.91,47.91,47.71
