Date,ValueAreaHigh,Poc,ValueAreaLow
2023-11-29,40.04,39.21,39.21
2023-11-30,41.35,40.91,40.91
2023-12-01,42.08,41.73,41.5
2023-12-04,41.71,41.55,41.52
2023-12-05,40.76,40.46,40.46
2023-12-06,41.03,40.85,40.76
2023-12-07,41.28,41.05,40.95
2023-12-08,41.37,41.25,41.16
2023-12-11,41.57,41.5,41.32
2023-12-12,41.1,40.73,40.6
2023-12-13,42.06,40.82,40.73
2023-12-14,43.19,43.12,42.93
2023-12-15,43.25,43.16,42.82
2023-12-18,43.05,43.01,42.91
2023-12-19,43.49,43.3,43.16
2023-12-20,43.31,43.19,42.91
2023-12-21,42.97,41.89,41.78
2023-12-22,41.89,41.75,41.73
2023-12-26,42.2,41.98,41.9
2023-12-27,42.62,42.57,42.46
2023-12-28,42.31,42.3,42.05
