Date,ValueAreaHigh,Poc,ValueAreaLow
2023-11-29,45.66,45.5,45.37
2023-11-30,45.32,45.21,45.12
2023-12-01,46.31,46.21,46.03
2023-12-04,45.51,45.23,45.21
2023-12-05,44.35,43.91,43.91
2023-12-06,44.34,44.16,44.03
2023-12-07,44.52,44.5,44.16
2023-12-08,45.31,45.16,45.0
2023-12-11,45.89,45.8,45.57
2023-12-12,45.09,44.96,44.78
2023-12-13,45.69,45.55,45.19
2023-12-14,47.1,46.55,46.55
2023-12-15,46.46,46.35,46.07
2023-12-18,47.34,47.28,47.08
2023-12-19,48.12,47.85,47.78
2023-12-20,47.33,46.6,46.48
2023-12-21,47.32,47.3,47.09
2023-12-22,47.53,47.48,47.37
2023-12-26,48.08,48.01,47.66
2023-12-27,48.0,47.87,47.69
2023-12-28,48.21,48.1,48.0
