Date,ValueAreaHigh,Poc,ValueAreaLow
2023-11-29,40.66,40.39,40.22
2023-11-30,40.44,40.19,39.89
2023-12-01,41.23,41.21,40.75
2023-12-04,40.91,40.87,40.48
2023-12-05,40.09,39.89,39.87
2023-12-06,39.96,39.7,39.69
2023-12-07,39.97,39.64,39.55
2023-12-08,39.35,39.16,39.09
2023-12-11,39.0,38.87,38.69
2023-12-12,38.24,37.8,37.56
2023-12-13,39.71,37.64,37.64
2023-12-14,41.42,41.17,41.01
2023-12-15,41.16,41.01,40.82
2023-12-18,41.19,41.12,40.81
2023-12-19,42.09,41.8,41.39
2023-12-20,41.96,41.96,41.46
2023-12-21,41.69,41.44,41.39
2023-12-22,42.53,42.25,42.03
2023-12-26,42.03,41.94,41.87
2023-12-27,42.44,42.39,42.18
2023-12-28,42.0,41.71,41.71
