Date,ValueAreaHigh,Poc,ValueAreaLow
2023-11-29,17.41,17.38,17.33
2023-11-30,17.58,17.57,17.5
2023-12-01,17.79,17.78,17.7
2023-12-04,17.87,17.87,17.82
2023-12-05,17.61,17.58,17.5
2023-12-06,17.59,17.55,17.49
2023-12-07,17.53,17.49,17.47
2023-12-08,17.71,17.7,17.61
2023-12-11,17.61,17.56,17.54
2023-12-12,17.27,17.22,17.18
2023-12-13,17.53,17.48,17.17
2023-12-14,17.77,17.7,17.69
2023-12-15,17.61,17.55,17.46
2023-12-18,17.66,17.57,17.56
2023-12-19,17.7,17.66,17.64
2023-12-20,17.68,17.52,17.52
2023-12-21,17.58,17.55,17.51
2023-12-22,17.78,17.74,17.72
2023-12-26,17.88,17.85,17.84
2023-12-27,17.8,17.78,17.7
2023-12-28,17.71,17.69,17.66
