Date,ValueAreaHigh,Poc,ValueAreaLow
2023-11-29,46.44,46.1,45.51
2023-11-30,46.21,46.07,45.46
2023-12-01,46.98,46.8,46.59
2023-12-04,45.92,45.64,45.46
2023-12-05,45.14,44.87,44.82
2023-12-06,45.21,44.85,44.85
2023-12-07,44.89,44.87,44.7
2023-12-08,46.39,46.39,45.52
2023-12-11,47.64,47.62,47.07
2023-12-12,47.94,47.91,47.66
2023-12-13,48.8,48.64,47.94
2023-12-14,48.85,48.64,48.31
2023-12-15,48.59,47.89,47.85
2023-12-18,47.9,47.73,47.68
2023-12-19,49.27,49.21,48.38
2023-12-20,48.86,47.57,47.57
2023-12-21,48.6,48.25,47.94
2023-12-22,48.92,48.92,48.52
2023-12-26,49.19,49.05,49.05
2023-12-27,48.96,48.55,48.35
2023-12-28,49.23,49.1,48.89
