,Date,Open,High,Low,Close,Adj Close,Volume,isPivot,cross_type,crossed_level,cross_period_ago,pre_cross_break,pivot_high_trend,pivot_low_trend,stop_loss
0,2021-12-20,25.5,27.190000534057617,24.940000534057617,27.09000015258789,27.09000015258789,3957400,0,0,,,0,False,False,
1,2021-12-21,25.15999984741211,25.290000915527344,20.84000015258789,21.450000762939453,21.450000762939453,8060100,0,0,,,0,False,False,
2,2021-12-22,21.51000022888184,24.01000022888184,21.209999084472656,23.920000076293945,23.920000076293945,3880200,0,0,,,0,False,False,
3,2021-12-23,23.850000381469727,24.57999992370605,23.3700008392334,24.299999237060547,24.299999237060547,2036300,0,2,24.254285714285714,2,0,False,False,
4,2021-12-27,24.170000076293945,24.739999771118164,23.899999618530277,24.31999969482422,24.31999969482422,1032200,0,2,24.254285714285714,3,0,False,False,
5,2021-12-28,24.34000015258789,25.09000015258789,24.290000915527344,24.670000076293945,24.670000076293945,1066600,1,2,24.254285714285714,4,0,False,True,
6,2021-12-29,24.600000381469727,24.739999771118164,23.8700008392334,23.959999084472656,23.959999084472656,724100,0,1,24.254285714285714,2,0,False,True,
7,2021-12-30,23.920000076293945,24.200000762939453,23.51000022888184,23.540000915527344,23.540000915527344,814300,0,1,24.254285714285714,3,0,False,True,
8,2021-12-31,23.65999984741211,23.729999542236328,22.940000534057617,23.34000015258789,23.34000015258789,825700,2,1,24.254285714285714,4,0,False,True,24.290000915527344
9,2022-01-03,23.32999992370605,24.549999237060547,23.1200008392334,24.38999938964844,24.38999938964844,916400,0,2,24.254285714285714,2,0,False,True,
10,2022-01-04,24.38999938964844,24.59000015258789,23.3799991607666,23.6200008392334,23.6200008392334,1005600,0,1,24.254285714285714,2,0,False,True,
11,2022-01-05,24.36000061035156,24.989999771118164,23.100000381469727,23.11000061035156,23.11000061035156,1653200,1,1,24.254285714285714,3,0,False,True,23.729999542236328
12,2022-01-06,23.3799991607666,24.07999992370605,22.63999938964844,23.38999938964844,23.38999938964844,1007700,0,1,24.254285714285714,4,0,False,True,
13,2022-01-07,23.049999237060547,23.63999938964844,22.540000915527344,22.59000015258789,22.59000015258789,1316200,0,1,24.254285714285714,5,0,False,True,
14,2022-01-10,22.6299991607666,22.780000686645508,21.670000076293945,22.709999084472656,22.709999084472656,1493100,0,0,,,0,False,True,
15,2022-01-11,22.649999618530277,23.299999237060547,22.31999969482422,22.75,22.75,602100,0,0,,,0,False,True,
16,2022-01-12,22.68000030517578,22.799999237060547,21.850000381469727,22.13999938964844,22.13999938964844,1759300,0,0,,,0,False,True,
17,2022-01-13,22.200000762939453,22.770000457763672,21.6299991607666,22.13999938964844,22.13999938964844,1476300,0,0,,,0,False,True,
18,2022-01-14,21.86000061035156,23.06999969482422,21.65999984741211,23.049999237060547,23.049999237060547,1342100,0,0,,,0,False,True,
19,2022-01-18,22.780000686645508,22.82999992370605,20.88999938964844,20.940000534057617,20.940000534057617,1684400,2,1,21.10625,2,0,False,True,23.100000381469727
20,2022-01-19,21.09000015258789,22.229999542236328,21.09000015258789,21.8700008392334,21.8700008392334,1657500,0,2,21.10625,2,0,False,True,
21,2022-01-20,22.309999465942383,22.90999984741211,21.3799991607666,21.489999771118164,21.489999771118164,1416000,0,2,21.10625,3,0,False,True,
22,2022-01-21,21.38999938964844,22.049999237060547,20.940000534057617,21.18000030517578,21.18000030517578,3055400,0,2,21.10625,4,0,False,True,
23,2022-01-24,20.920000076293945,22.549999237060547,20.739999771118164,22.450000762939453,22.450000762939453,2265300,2,2,21.10625,5,0,False,True,23.100000381469727
24,2022-01-25,22.0,22.170000076293945,21.299999237060547,21.93000030517578,21.93000030517578,1618700,0,0,,,0,False,True,
25,2022-01-26,22.149999618530277,22.8700008392334,21.709999084472656,21.93000030517578,21.93000030517578,1381100,1,0,,,0,False,True,22.549999237060547
26,2022-01-27,22.06999969482422,22.3700008392334,21.51000022888184,21.530000686645508,21.530000686645508,1058400,0,0,,,0,False,False,
27,2022-01-28,21.5,22.1299991607666,21.030000686645508,22.11000061035156,22.11000061035156,1201500,2,0,,,0,True,False,21.709999084472656
28,2022-01-31,22.229999542236328,22.690000534057617,22.040000915527344,22.489999771118164,22.489999771118164,1100300,0,0,,,0,True,False,
29,2022-02-01,22.770000457763672,23.940000534057617,22.600000381469727,23.84000015258789,23.84000015258789,1746700,0,0,,,0,True,False,
30,2022-02-02,23.799999237060547,24.020000457763672,23.09000015258789,23.40999984741211,23.40999984741211,1308600,0,0,,,0,True,False,
31,2022-02-03,23.11000061035156,23.93000030517578,23.100000381469727,23.1299991607666,23.1299991607666,982100,0,0,,,0,True,False,
32,2022-02-04,23.01000022888184,23.86000061035156,22.450000762939453,23.600000381469727,23.600000381469727,1118100,2,0,,,0,True,False,21.709999084472656
33,2022-02-07,23.600000381469727,25.649999618530277,23.479999542236328,25.309999465942383,25.309999465942383,1820900,0,2,24.254285714285714,2,0,True,False,
34,2022-02-08,24.96999931335449,25.3700008392334,24.520000457763672,25.1299991607666,25.1299991607666,1093000,0,2,24.254285714285714,3,0,True,False,
35,2022-02-09,26.34000015258789,26.86000061035156,25.61000061035156,26.850000381469727,26.850000381469727,1524400,0,2,24.254285714285714,4,0,True,False,
36,2022-02-10,26.239999771118164,27.239999771118164,25.899999618530277,26.229999542236328,26.229999542236328,1800900,0,2,24.254285714285714,5,0,True,False,
37,2022-02-11,26.32999992370605,26.799999237060547,25.530000686645508,25.950000762939453,25.950000762939453,1298400,0,0,,,0,True,False,
38,2022-02-14,25.959999084472656,26.65999984741211,25.739999771118164,26.190000534057617,26.190000534057617,1046600,0,0,,,0,True,False,
39,2022-02-15,26.32999992370605,27.540000915527344,26.13999938964844,27.280000686645508,27.280000686645508,1471200,0,0,,,0,True,False,
40,2022-02-16,27.190000534057617,27.809999465942383,26.5,27.5,27.5,1373900,1,0,,,0,True,True,23.86000061035156
41,2022-02-17,27.32999992370605,27.420000076293945,26.61000061035156,26.6299991607666,26.6299991607666,955800,0,0,,,0,True,True,
42,2022-02-18,26.75,27.190000534057617,25.76000022888184,25.86000061035156,25.86000061035156,827200,0,0,,,0,True,True,
43,2022-02-22,25.299999237060547,26.71999931335449,25.25,26.149999618530277,26.149999618530277,1600400,0,0,,,0,True,True,
44,2022-02-23,26.459999084472656,26.459999084472656,24.540000915527344,24.690000534057617,24.690000534057617,1252900,0,0,,,0,True,True,
45,2022-02-24,23.799999237060547,25.920000076293945,23.709999084472656,25.81999969482422,25.81999969482422,1465400,2,0,,,0,True,True,26.5
46,2022-02-25,25.56999969482422,25.96999931335449,24.940000534057617,25.63999938964844,25.63999938964844,870100,0,0,,,0,False,True,
47,2022-02-28,25.459999084472656,25.739999771118164,24.84000015258789,25.40999984741211,25.40999984741211,1522900,0,0,,,0,False,True,
48,2022-03-01,24.239999771118164,25.84000015258789,24.239999771118164,25.06999969482422,25.06999969482422,1972700,0,0,,,0,False,True,
49,2022-03-02,25.030000686645508,25.549999237060547,24.51000022888184,24.65999984741211,24.65999984741211,909700,0,0,,,0,False,True,
50,2022-03-03,24.670000076293945,25.270000457763672,24.1299991607666,24.36000061035156,24.36000061035156,1013100,0,0,,,0,False,True,
51,2022-03-04,24.13999938964844,24.40999984741211,23.649999618530277,24.040000915527344,24.040000915527344,1144200,0,1,24.254285714285714,2,0,False,True,
52,2022-03-07,23.90999984741211,24.6200008392334,23.82999992370605,24.399999618530277,24.399999618530277,1074300,0,2,24.254285714285714,2,0,False,True,
53,2022-03-08,24.149999618530277,24.399999618530277,22.780000686645508,23.399999618530277,23.399999618530277,1491800,2,1,24.254285714285714,2,0,False,True,26.5
54,2022-03-09,23.899999618530277,27.15999984741211,23.670000076293945,25.780000686645508,25.780000686645508,3817400,1,2,24.254285714285714,2,0,False,True,24.399999618530277
55,2022-03-10,25.299999237060547,25.75,24.13999938964844,24.559999465942383,24.559999465942383,1682200,0,2,24.254285714285714,3,0,False,False,
56,2022-03-11,24.59000015258789,25.01000022888184,23.049999237060547,23.18000030517578,23.18000030517578,1302100,0,1,24.254285714285714,2,0,False,False,
57,2022-03-14,23.020000457763672,23.399999618530277,21.979999542236328,22.270000457763672,22.270000457763672,1750600,0,1,24.254285714285714,3,0,False,False,
58,2022-03-15,22.440000534057617,23.059999465942383,21.76000022888184,23.049999237060547,23.049999237060547,1571600,2,1,24.254285714285714,4,0,True,False,23.670000076293945
59,2022-03-16,24.36000061035156,24.8700008392334,22.75,23.600000381469727,23.600000381469727,2042300,0,1,24.254285714285714,5,0,True,False,
60,2022-03-17,23.61000061035156,23.989999771118164,23.36000061035156,23.86000061035156,23.86000061035156,1249400,0,0,,,0,True,False,
61,2022-03-18,24.190000534057617,25.82999992370605,23.88999938964844,25.3799991607666,25.3799991607666,2697700,0,2,24.254285714285714,2,0,True,False,
62,2022-03-21,25.270000457763672,26.200000762939453,25.030000686645508,25.549999237060547,25.549999237060547,1430500,0,2,24.254285714285714,3,0,True,False,
63,2022-03-22,25.56999969482422,26.440000534057617,25.350000381469727,26.38999938964844,26.38999938964844,1278500,0,2,24.254285714285714,4,0,True,False,
