date,open,high,low,close,volume,average,barCount
2023-03-13 09:30:00-04:00,471.87,473.99,471.18,471.24,30967.0,471.93,136
2023-03-13 09:35:00-04:00,471.19,477.22,470.79,477.22,23515.0,473.743,197
2023-03-13 09:40:00-04:00,477.68,478.08,475.38,477.45,27367.0,476.746,218
2023-03-13 09:45:00-04:00,477.78,478.11,476.39,477.57,10191.0,477.585,88
2023-03-13 09:50:00-04:00,478.0,478.91,475.52,476.13,10651.0,477.047,85
2023-03-13 09:55:00-04:00,475.81,476.78,475.43,476.78,4740.0,476.285,43
2023-03-13 10:00:00-04:00,477.28,478.0,475.92,477.98,5357.0,476.806,50
2023-03-13 10:05:00-04:00,477.68,478.77,477.54,478.16,9141.0,478.019,82
2023-03-13 10:10:00-04:00,478.37,478.59,476.52,476.9,7965.0,477.556,72
2023-03-13 10:15:00-04:00,476.59,477.09,474.89,475.18,10363.0,476.069,95
2023-03-13 10:20:00-04:00,474.94,475.64,474.11,474.13,8853.0,474.757,59
2023-03-13 10:25:00-04:00,474.12,474.13,472.99,474.13,10271.0,473.655,86
2023-03-13 10:30:00-04:00,474.51,475.29,474.05,474.05,4975.0,474.69,43
2023-03-13 10:35:00-04:00,474.56,475.4,474.19,474.39,5076.0,474.767,46
2023-03-13 10:40:00-04:00,474.16,475.64,474.03,475.64,4012.0,474.699,39
2023-03-13 10:45:00-04:00,475.57,476.38,475.57,475.69,6222.0,475.943,54
2023-03-13 10:50:00-04:00,475.56,475.68,474.05,474.31,6094.0,474.827,56
2023-03-13 10:55:00-04:00,474.56,477.22,474.38,476.98,7955.0,476.05,69
2023-03-13 11:00:00-04:00,476.93,478.59,476.74,477.69,5711.0,477.708,53
2023-03-13 11:05:00-04:00,477.43,477.43,475.79,475.89,8111.0,476.49,71
2023-03-13 11:10:00-04:00,475.96,476.48,475.26,475.4,4839.0,475.737,46
2023-03-13 11:15:00-04:00,475.78,476.44,475.58,475.58,5240.0,475.965,47
2023-03-13 11:20:00-04:00,475.56,475.81,473.84,474.68,13597.0,474.987,124
2023-03-13 11:25:00-04:00,474.88,475.4,474.19,474.99,8371.0,474.944,77
2023-03-13 11:30:00-04:00,474.99,475.31,473.29,473.29,8360.0,474.374,66
2023-03-13 11:35:00-04:00,473.28,473.34,472.47,473.04,6499.0,472.987,54
2023-03-13 11:40:00-04:00,473.04,474.21,473.04,473.92,8530.0,473.717,63
2023-03-13 11:45:00-04:00,473.74,474.35,473.1,474.3,4981.0,473.745,43
2023-03-13 11:50:00-04:00,474.35,474.92,473.82,473.82,6457.0,474.418,61
2023-03-13 11:55:00-04:00,473.78,476.22,473.78,476.01,6953.0,475.049,57
2023-03-13 12:00:00-04:00,476.01,477.4,475.33,475.4,6209.0,476.494,54
2023-03-13 12:05:00-04:00,475.58,476.16,475.46,475.76,4484.0,475.759,39
2023-03-13 12:10:00-04:00,475.77,475.77,474.19,475.13,6494.0,474.935,50
2023-03-13 12:15:00-04:00,475.04,475.87,474.73,474.73,4027.0,475.358,38
2023-03-13 12:20:00-04:00,474.9,474.92,474.1,474.19,4078.0,474.425,36
2023-03-13 12:25:00-04:00,474.33,474.72,474.23,474.52,3894.0,474.438,37
2023-03-13 12:30:00-04:00,474.42,474.42,473.31,473.72,5827.0,473.733,55
2023-03-13 12:35:00-04:00,473.47,474.31,473.43,474.21,6635.0,473.983,56
2023-03-13 12:40:00-04:00,474.1,474.28,473.36,474.26,11586.0,473.958,87
2023-03-13 12:45:00-04:00,474.08,474.46,473.26,473.26,57619.0,473.971,540
2023-03-13 12:50:00-04:00,473.26,474.87,473.16,474.53,17149.0,473.782,162
2023-03-13 12:55:00-04:00,474.49,474.62,473.89,474.47,4986.0,474.264,45
2023-03-13 13:00:00-04:00,474.73,474.8,473.9,474.16,8241.0,474.26,64
2023-03-13 13:05:00-04:00,474.04,474.63,473.73,474.45,6323.0,474.097,57
2023-03-13 13:10:00-04:00,474.22,474.59,474.16,474.45,3497.0,474.304,27
2023-03-13 13:15:00-04:00,474.45,475.56,474.24,475.42,9964.0,474.894,93
2023-03-13 13:20:00-04:00,475.36,475.4,474.86,474.88,4572.0,475.23,31
